LakID,TAG,SOURCE,TYPE,COUNTRY,LAKE_NAME,AREA_KM2,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
532,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Flasjon,112.3,15.85,64.13,15.875,64.14167
540,ELM,Burek_Lake,LAKE_M_EUR,Sweden, ,144.9,15.36,64.02,15.35833,64.00833
542,ELM,Burek_Lake,LAKE_M_EUR,Finland,Lappajarvi,148.9,23.67,63.15,23.65833,63.24167
551,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Kallsjon,188.5,13,63.6,13.35833,63.425
555,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Storsjon,469.6,14.41,63.09,14.49167,63.29167
697,ELM,GLWD2,LAKE_M_EUR,Finland,Nasijarvi,493.7,23.75,61.55,23.74167,61.55833
567,ELM,Burek_Lake,LAKE_M_EUR,Norway,Femunden,208.3,11.85,62.17,11.925,61.94167
570,ELM,Burek_Lake,LAKE_M_EUR,Finland,Vanajanselka,155,24.09,61.18,24.04167,61.19167
571,ELM,Burek_Lake,LAKE_M_EUR,Finland,Pyhajarvi,149.6,22.28,61,22.19167,61.09167
514,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,204.7,30.68,65.06,30.925,65.09167
515,ELM,Burek_Lake,LAKE_M_EUR,Russia,Sredneye Kuyto,385.6,31.59,65.02,31.59167,65.075
518,ELM,Burek_Lake,LAKE_M_EUR,Finland,Kianta,181.8,29.12,65.03,28.925,64.89167
519,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,225.6,31.88,64.48,32.04167,64.45833
522,ELM,Burek_Lake,LAKE_M_EUR,Russia,Vygozero,1248.5,34.84,63.54,34.25833,63.825
523,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,105.7,30.16,64.46,30.25833,64.40833
525,ELM,Burek_Lake,LAKE_M_EUR,Russia,Segozero,784.1,33.76,63.32,33.90833,63.39167
724,ELM,GLWD2,LAKE_M_EUR,Finland, ,101.6,28.05,64.15,27.85833,64.225
527,ELM,Burek_Lake,LAKE_M_EUR,Russia,Leksozero,198.8,30.97,63.81,31.025,63.69167
528,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,112.6,30.54,63.57,30.525,63.54167
529,ELM,Burek_Lake,LAKE_M_EUR,Finland,Pyhajarvi,122.9,25.89,63.61,25.975,63.70833
530,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,187.8,34.14,62.38,34.275,62.225
531,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,109.9,28.06,63.32,28.20833,63.24167
