ResID,TAG,SOURCE,TYPE,COUNTRY,DAM_NAME,ACTIVE_FRO,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
3846,ERS,GranD,RESERVOIR_S_EUR,Algeria,Colonel Bougara,1988,1.93375,35.56625,1.94167,35.55833
3847,ERS,GranD,RESERVOIR_S_EUR,Algeria,Fergoug,1970,0.04625,35.52125,0.04167,35.525
3848,ERS,GranD,RESERVOIR_S_EUR,Algeria,Dahmouni,1987,1.562917,35.42625,1.55833,35.425
3849,ERS,GranD,RESERVOIR_S_EUR,Tunisia,Sidi Saad,1981,9.692083,35.39125,9.69167,35.39167
3850,ERS,GranD,RESERVOIR_S_EUR,Algeria,Bakhadda,1935,1.03875,35.345417,1.04167,35.34167
3851,ERS,GranD,RESERVOIR_S_EUR,Algeria,Sarno,1953,0.597083,35.247917,0.59167,35.24167
3852,ERS,GranD,RESERVOIR_S_EUR,Algeria,Foum el Gueiss,1939,7.017083,35.16625,7.025,35.15833
3853,ERS,GranD,RESERVOIR_S_EUR,Algeria,Foum el Gherza,1950,5.92375,34.85375,5.925,34.85833
3854,ERS,GranD,RESERVOIR_S_EUR,Libya,Dakar,1978,14.337917,32.407917,14.34167,32.40833
3855,ERS,GranD,RESERVOIR_S_EUR,Libya,Mejenin 4,1972,13.247917,32.295417,13.24167,32.29167
3856,ERS,GranD,RESERVOIR_S_EUR,Libya,Zaret,1982,13.135417,32.242083,13.14167,32.24167
3857,ERS,GranD,RESERVOIR_S_EUR,Norway,Masevatn Hoveddam,1973,26.937917,70.387083,26.89167,70.35833
3858,ERS,GranD,RESERVOIR_S_EUR,Norway,Virdnejavri,1987,23.817083,69.70375,23.825,69.70833
3859,ERS,GranD,RESERVOIR_S_EUR,Norway,Skogfoss Inntaksdam,1964,29.704583,69.36875,29.70833,69.375
3860,ERS,GranD,RESERVOIR_S_EUR,Norway,Guolasjavrre,1971,21.067083,69.34625,21.075,69.35833
3861,ERS,GranD,RESERVOIR_S_EUR,Norway,Rieppejavri Hoveddam,1978,20.59625,69.22625,20.575,69.225
3862,ERS,GranD,RESERVOIR_S_EUR,Norway,Altevatn,1960,19.854583,68.43375,18.89167,68.65833
3863,ERS,GranD,RESERVOIR_S_EUR,Norway,Batsvatn Hoveddam,1973,17.775417,68.06625,17.775,68.075
3864,ERS,GranD,RESERVOIR_S_EUR,Norway,Reinoksvatn,1986,16.475417,67.657917,16.29167,67.69167
3865,ERS,GranD,RESERVOIR_S_EUR,Sweden,Suorvadammen,1972,18.167917,67.524583,18.20833,67.525
3866,ERS,GranD,RESERVOIR_S_EUR,Sweden,Vietas,1966,18.462917,67.50375,18.44167,67.50833
3867,ERS,GranD,RESERVOIR_S_EUR,Norway,Sisovatn North Dam,1972,15.832917,67.33375,15.825,67.34167
3868,ERS,GranD,RESERVOIR_S_EUR,Sweden,Seitevare,1967,18.57125,66.974583,18.575,66.975
3869,ERS,GranD,RESERVOIR_S_EUR,Sweden,Porjus,1914,19.80625,66.957917,19.80833,66.95833
3870,ERS,GranD,RESERVOIR_S_EUR,Sweden,Harspranget,1952,19.825417,66.887083,19.825,66.89167
3871,ERS,GranD,RESERVOIR_S_EUR,Sweden,Ligga,1954,19.887917,66.812083,19.89167,66.80833
3872,ERS,GranD,RESERVOIR_S_EUR,Sweden,Parki,1970,19.200417,66.74125,19.20833,66.74167
3873,ERS,GranD,RESERVOIR_S_EUR,Sweden,Messaure,1963,20.337917,66.69125,20.34167,66.69167
3874,ERS,GranD,RESERVOIR_S_EUR,Sweden,Akkats,1973,19.825417,66.64125,19.825,66.64167
3875,ERS,GranD,RESERVOIR_S_EUR,Sweden,Letsi,1967,20.354583,66.499583,20.375,66.50833
3876,ERS,GranD,RESERVOIR_S_EUR,Sweden,Porsi,1961,20.64625,66.449583,20.65833,66.425
3877,ERS,GranD,RESERVOIR_S_EUR,Finland,Valajaskoski,1960,25.537917,66.420417,25.54167,66.425
3879,ERS,GranD,RESERVOIR_S_EUR,Finland,Petajaskoski,1957,25.35875,66.282917,25.35833,66.29167
3880,ERS,GranD,RESERVOIR_S_EUR,Sweden,Laxede,1962,20.887917,66.24375,20.85833,66.225
3881,ERS,GranD,RESERVOIR_S_EUR,Finland,Ossauskoski,1965,25.175417,66.162083,25.14167,66.15833
3882,ERS,GranD,RESERVOIR_S_EUR,Finland,Taivalkoski,1975,24.70625,65.932917,24.70833,65.94167
3883,ERS,GranD,RESERVOIR_S_EUR,Finland,Isohaara,1948,24.549583,65.797083,24.55833,65.79167
3884,ERS,GranD,RESERVOIR_S_EUR,Sweden,Storavatn Bergnas,1959,18.150417,65.60375,18.175,65.59167
3885,ERS,GranD,RESERVOIR_S_EUR,Sweden,Ajaure,1967,15.625417,65.512083,15.625,65.50833
3886,ERS,GranD,RESERVOIR_S_EUR,Sweden,Gardiken,1963,15.850417,65.470417,15.85833,65.475
3887,ERS,GranD,RESERVOIR_S_EUR,Sweden,Bastusel,1973,18.617083,65.43875,18.625,65.44167
3888,ERS,GranD,RESERVOIR_S_EUR,Sweden,Storjuktandammen,1963,17.31625,65.320417,17.325,65.325
3889,ERS,GranD,RESERVOIR_S_EUR,Sweden,Ransaren,1956,15.020417,65.224583,15.075,65.175
3890,ERS,GranD,RESERVOIR_S_EUR,Sweden,Vojmsjon,1950,16.737917,64.872083,16.74167,64.875
3891,ERS,GranD,RESERVOIR_S_EUR,Sweden,Dabbsjo,1969,15.43375,64.632917,15.44167,64.625
3892,ERS,GranD,RESERVOIR_S_EUR,Finland,Uljua Dams,1970,25.87375,64.337083,25.89167,64.34167
3893,ERS,GranD,RESERVOIR_S_EUR,Sweden,Hallby,1970,17.207917,63.90375,17.19167,63.89167
3894,ERS,GranD,RESERVOIR_S_EUR,Finland,Hirvijarvi,1974,23.054583,62.80375,23.075,62.80833
3895,ERS,GranD,RESERVOIR_S_EUR,Finland,Kuurna,1970,29.89625,62.69125,29.875,62.70833
3896,ERS,GranD,RESERVOIR_S_EUR,Sweden,Leringsfors,1944,16.420417,62.595417,16.425,62.575
3897,ERS,GranD,RESERVOIR_S_EUR,Finland,Kalajarvi,1976,23.099583,62.555417,23.10833,62.55833
3898,ERS,GranD,RESERVOIR_S_EUR,Sweden,Motala,1921,15.275417,58.555417,15.275,58.55833
3899,ERS,GranD,RESERVOIR_S_EUR,Latvia,Riga,1976,24.274583,56.852083,24.275,56.85833
3900,ERS,GranD,RESERVOIR_S_EUR,Latvia,Kegums,1947,24.712917,56.737083,24.70833,56.74167
3901,ERS,GranD,RESERVOIR_S_EUR,Latvia,Plyavinass,1965,25.240417,56.582083,25.24167,56.575
3902,ERS,GranD,RESERVOIR_S_EUR,Lithuania,Kupiskio,1986,24.97125,55.85375,24.975,55.85833
3903,ERS,GranD,RESERVOIR_S_EUR,Lithuania,Kauno,1960,24.00375,54.874583,23.99167,54.875
3904,ERS,GranD,RESERVOIR_S_EUR,Poland,Koronowo,1960,17.962917,53.332917,17.95833,53.34167
3905,ERS,GranD,RESERVOIR_S_EUR,Poland,Wloclawek,1970,19.134583,52.662083,19.14167,52.65833
3906,ERS,GranD,RESERVOIR_S_EUR,Poland,Debe,1963,20.924583,52.490417,20.925,52.49167
3907,ERS,GranD,RESERVOIR_S_EUR,Poland,Jeziorsko,1990,18.70875,51.85625,18.70833,51.85833
3908,ERS,GranD,RESERVOIR_S_EUR,Poland,Sulejow,1974,20.000417,51.47375,20.00833,51.475
3909,ERS,GranD,RESERVOIR_S_EUR,Poland,Slup,1978,16.10875,51.099583,16.10833,51.10833
3910,ERS,GranD,RESERVOIR_S_EUR,Poland,Lesna,1906,15.289583,51.032917,15.29167,51.025
3911,ERS,GranD,RESERVOIR_S_EUR,Poland,Zlotniki,1924,15.33375,51.022083,15.34167,51.025
