ResID,GLWD_ID,GRAND_ID,Source,LAKE_NAME,DAM_NAME,LONG_DEG,LAT_DEG,LONG_OUTLE,LAT_OUTLET,VOLUME_Gra,VOL_SRC,COUNTRY,SEC_CNTRY,RIVER,NEAR_CITY,DAM_YEAR,note,X_coord,Y_coord,X_CORRECT,Y_CORRECT,LisfloodX3,LisfloodY3,remap_com
35,3703,NA,GLWD,,Huangshi,111.09,29.22,NA,NA,NA,LRs,China,,Tr. Yuan Jiang,Changde,1960,"cat2, not mr, not fc",111.15,29.15,111.15,29.15,111.175,29.175,remapped
36,3637,NA,GLWD,,Madden,-79.58,9.27,NA,NA,NA,ICOLD_LRs,Panama,,Chagres,Panama City,1938,"cat2, cts 5pixels",-79.55,9.25,-79.55,9.25,-79.575,9.225,remapped
37,3682,NA,GLWD,,Tashutkul,73.94,43.36,NA,NA,NA,ICOLD_LRs,Kazakhstan,,Chu,Chu,1974,,73.85,43.35,73.85,43.35,73.875,43.375,remapped
38,3639,NA,GLWD,,,146.1,-36.01,NA,NA,NA,Statistics,Australia,,,,0,,146.05,-36.05,146.05,-36.05,146.025,-35.975,remapped
39,1293,NA,GLWD,,Hemren,45.02,34.2,NA,NA,NA,ICOLD_LRs,Iraq,,Diyala,Baqubah,1983,,44.95,34.15,44.95,34.15,44.975,34.125,remapped
40,3608,NA,GLWD,,Chief Joseph,-119.44,48.07,NA,NA,NA,ICOLD,United States,,Columbia,Bridge Port,1955,,-119.05,48.05,-119.75,48.05,-119.625,47.975,remapped
41,616,NA,GLWD,Finch'a',Finchaa,37.14,9.47,NA,NA,NA,ICOLD_LRs,Ethiopia,,Finochaa,Addis Ababa,1973,"cat2, not mr, not fc",37.35,9.55,37.35,9.55,37.375,9.575,remapped
42,2777,NA,GLWD,,Zhzopingtai,113.11,33.74,NA,NA,NA,ICOLD,China,,Sha He,Lushan,1959,"cat2, not mr, not fc",113.15,33.75,113.15,33.75,113.225,33.725,remapped
43,3634,NA,GLWD,,Hollingsworth,-84.15,48.29,NA,NA,NA,ICOLD_LRs,Canada,,Michipicoten,Sault St. Marie,1959,"cat2, above great lakes",-84.15,48.35,-84.55,47.95,-84.475,47.975,remapped
44,3630,NA,GLWD,Boqueirao,,-36.25,-7.53,NA,NA,NA,Statistics,Brazil,,,,0,GloFAS station downstream G1223,-36.15,-7.45,-36.15,-7.45,-36.175,-7.475,remapped
45,3632,NA,GLWD,,,25.27,-29.52,NA,NA,NA,Statistics,South Africa,,,,0,"cat2, not main river, not flood control",25.25,-29.55,25.25,-29.55,25.225,-29.525,remapped
46,3633,NA,GLWD,,,24.53,-33.71,NA,NA,NA,Statistics,South Africa,,,,0,"cat2, no mr, no fc",24.55,-33.75,24.55,-33.75,24.575,-33.725,remapped
47,3328,NA,GLWD,,Bonneville,-121.74,45.69,NA,NA,NA,LRs,United States,,Columbia,Portland,1981,,-121.85,45.65,-121.85,45.65,-121.875,45.675,remapped
48,3623,NA,GLWD,Hebgen Lake,,-111.26,44.78,NA,NA,NA,Statistics,United States,,,,0,,-111.25,44.75,-111.33458,44.86375,-111.325,44.825,remapped
49,3702,NA,GLWD,,Gaozhou (Liangde),110.99,22.16,NA,NA,NA,ICOLD_LRs,China,,Tr. Jiang Jiang,Gaozhou,1959,"cat2, nor mr, not fc",111.05,22.15,110.95,22.15,110.975,22.025,correct position
50,1753,NA,GLWD,Mark Twain Lake,Clarence Canyon,-91.78,39.49,NA,NA,NA,ICOLD_LRs,United States,,Salt,Louisiana,1984,,-91.65,39.55,-91.65,39.55,-91.625,39.525,remapped
51,3618,NA,GLWD,Caballo Reservoir,,-107.27,33,NA,NA,NA,Statistics,United States,,,,0,GloFAS station G0871,-107.25,32.95,-107.25,33.05,-107.275,32.925,remapped
52,3619,NA,GLWD,Rye Patch Reservoir,,-118.31,40.59,NA,NA,NA,Statistics,United States,,,,0,"cat2, endorheic basin",-118.35,40.45,-118.35,40.55,-118.325,40.475,remapped
53,3621,NA,GLWD,,,29.09,-14.1,NA,NA,NA,Statistics,Zambia,,,,0,"cat2, other reservoir downsteam",29.15,-14.25,29.15,-14.25,29.125,-14.225,remapped
