station_id,version__origin__name,version__version,StationName,StationLon,StationLat,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River,KGE,correlation,bias,variability
67,EFAS,12,Breisach,7.572627,48.043177,1,HIST_24h,,Rhine,DE,37575.0,37575.0,Rhine,3.0,0,True,0,1,1,1,1,1,191.85,True,4142500.0,2777500.0,6.0,ID_67.mod,,67,False,1004,False,Rhine,0.786,0.882,0.95,1.172
68,EFAS,12,Rheinweiler,7.529335,47.711025,1,NRT_6h,,Rhine,DE,36650.0,36649.0,Rhine,0.0,0,True,1,1,1,1,1,1,217.24,False,4137500.0,2737500.0,6.0,ID_68.mod,Extremely low discharge possibly wrong location or wrong rating curve,68,True,1004,True,Rhine,,,,
69,EFAS,12,Erlln,12.813374,51.155168,0,HIST_24h,,Elbe,DE,5375.0,2983.0,Elbe,2.0,0,True,0,1,1,1,1,0,133.03,False,4517500.0,3117500.0,6.0,ID_69.mod,Moved on Elbe main stream  close to 82,69,False,1007,False,Freiberger Mulde,,,,
71,EFAS,12,Kriebstein UP,13.02157,51.055167,1,NRT_6h,,Elbe,DE,1800.0,1757.0,Elbe,3.0,0,True,1,1,1,1,1,1,182.84,True,4532500.0,3112500.0,6.0,ID_71.mod,Dam,71,True,1007,True,Zschopau,0.828,0.833,0.974,1.031
73,EFAS,12,Zwickau-Poelbitz,12.493595,50.740921,1,NRT_6h,,Elbe,DE,1025.0,1030.0,Elbe,3.0,0,True,1,1,1,1,1,1,255.21,True,4497500.0,3072500.0,6.0,ID_73.mod,,73,True,1007,True,Zwickauer Mulde,0.78,0.824,0.932,1.114
74,EFAS,12,Wolkenburg,12.671394,50.901464,1,NRT_6h,,Elbe,DE,1400.0,1416.38,Elbe,2.0,0,True,1,1,1,1,1,1,207.78,False,4507500.0,3087500.0,6.0,ID_74.mod,Outliers  zeros  negative values removed with qc close to 73,74,True,1007,True,Zwickauer Mulde,0.658,0.816,0.935,1.28
75,EFAS,12,Wechselburg 1,12.772535,51.006848,1,NRT_6h,,Elbe,DE,2125.0,2107.0,Elbe,2.0,0,True,1,1,1,1,1,1,159.72,False,4517500.0,3102500.0,6.0,ID_75.mod,close to 80,75,True,1007,True,Zwickauer Mulde,0.652,0.853,0.879,1.292
76,EFAS,12,Riesa,13.293276,51.31149,1,NRT_6h,,Elbe,DE,54450.0,54485.0,Elbe,2.0,0,True,1,1,1,1,1,1,88.03,False,4552500.0,3137500.0,6.0,ID_76.mod,Few outliers on 2013 flood  zeros  close to 78,76,True,1007,True,Elbe,0.682,0.738,1.164,1.077
77,EFAS,12,Muehlberg,13.190925,51.437427,1,HIST_24h,,Elbe,DE,55075.0,55030.0,Elbe,0.0,0,True,0,1,1,0,1,1,81.68,False,4542500.0,3152500.0,24.0,ID_77.mod,Extremely low discharge conpared to catchment size  Possibly wrong location or wrong data,77,False,1004,False,Elbe,,,,
78,EFAS,12,Torgau,13.01012,51.553713,1,NRT_6h,C163,Elbe,DE,55150.0,55211.0,Elbe,3.0,0,True,1,1,1,1,1,1,75.18,True,4532500.0,3157500.0,6.0,ID_78.mod,,78,True,1007,True,Elbe,0.715,0.762,1.154,1.027
79,EFAS,12,Lichtenwalde 1,13.020015,50.886191,1,NRT_6h,,Elbe,DE,1600.0,1575.0,Elbe,3.0,0,True,1,1,1,1,1,1,251.91,True,4532500.0,3092500.0,6.0,ID_79.mod,,79,True,1007,True,Zschopau,0.814,0.832,0.958,1.066
80,EFAS,12,Colditz,12.806467,51.121355,1,NRT_6h,,Elbe,DE,2325.0,2326.0,Elbe,3.0,0,True,1,1,1,1,1,1,139.17,True,4517500.0,3112500.0,6.0,ID_80.mod,,80,True,1007,True,Zwickauer Mulde,0.668,0.844,0.909,1.279
81,EFAS,12,Kleindalzig,12.291583,51.210414,1,NRT_6h,,Elbe,DE,2975.0,2891.0,Elbe,3.0,0,True,1,1,1,1,1,1,119.55,True,4482500.0,3122500.0,6.0,ID_81.mod,zeros removed with qc,81,True,1007,True,White Elster,0.878,0.881,0.999,0.973
82,EFAS,12,Golzern 1,12.777398,51.253004,1,NRT_6h,C165,Elbe,DE,5500.0,5442.0,Elbe,3.0,0,True,1,1,1,1,1,1,117.7,True,4512500.0,3127500.0,6.0,ID_82.mod,,82,True,1007,True,United Mulde,0.868,0.879,0.955,1.029
83,EFAS,12,Bad Dueben 1,12.580715,51.590779,1,NRT_6h,C353,Elbe,DE,6050.0,6171.0,Elbe,3.0,0,True,1,1,1,1,1,1,81.5,True,4502500.0,3162500.0,6.0,ID_83.mod,,83,True,1007,True,United Mulde,0.863,0.87,0.988,1.042
84,EFAS,12,Oberthau,12.147231,51.384405,0,NRT_6h,,Elbe,DE,4950.0,4939.0,Elbe,3.0,0,True,0,1,1,1,1,0,87.27,True,4477500.0,3142500.0,6.0,ID_84.mod,,84,False,1007,False,White Elster,,,,
85,EFAS,12,Boehlen 1,12.387218,51.211917,1,NRT_6h,,Elbe,DE,1400.0,1359.0,Elbe,3.0,0,True,1,1,1,1,1,1,120.9,True,4487500.0,3132500.0,6.0,ID_85.mod,,85,True,1007,True,Pleisse,0.765,0.779,1.075,0.97
86,EFAS,12,Neuwiese,14.197033,51.476458,1,NRT_6h,,Elbe,DE,675.0,669.0,Elbe,3.0,0,True,1,1,0,1,1,1,109.72,True,4617500.0,3157500.0,6.0,ID_86.mod,,86,True,1007,True,Blacl Elster,0.713,0.767,1.136,0.904
87,EFAS,12,Schoena,14.235233,50.875791,1,NRT_6h,,Elbe,DE,51400.0,51391.0,Elbe,3.0,0,True,1,1,1,1,1,1,116.21,True,4617500.0,3092500.0,6.0,ID_87.mod,,87,True,1007,True,Elbe,0.669,0.755,1.221,1.026
88,EFAS,12,Pirna,13.933004,50.9645,1,,,Elbe,DE,52000.0,52080.0,Elbe,,0,True,0,0,1,1,1,1,108.06,False,4607500.0,3102500.0,,,No discharge data available for calibration period,88,False,1007,False,Elbe,,,,
89,EFAS,12,Dresden,13.738831,51.054481,1,NRT_6h,C155,Elbe,DE,53125.0,53096.0,Elbe,3.0,0,True,1,1,1,1,1,1,102.73,True,4582500.0,3112500.0,6.0,ID_89.mod,,89,True,1007,True,Elbe,0.7,0.764,1.185,0.997
90,EFAS,12,Meissen,13.474611,51.164463,1,,,Elbe,DE,53950.0,53885.0,Elbe,,0,True,0,0,1,1,1,1,94.84,False,4562500.0,3122500.0,,,No discharge data available for calibration period,90,False,1007,False,Elbe,,,,
91,EFAS,12,Podrosche 3,14.946656,51.47187,1,NRT_6h,,Oder,DE,2100.0,2173.0,Oder,2.0,0,True,1,1,0,1,1,1,120.6,False,4657500.0,3167500.0,6.0,ID_91.mod,close to 150,91,True,1007,True,Lusatian Neisse,0.794,0.83,0.921,1.085
92,EFAS,12,Sprey,14.522407,51.430489,1,NRT_6h,,Elbe,DE,1650.0,1596.0,Elbe,2.0,0,True,1,1,1,1,1,1,114.11,False,4637500.0,3152500.0,6.0,ID_92.mod,close to 93,92,True,1007,True,Spree,,,,
93,EFAS,12,Spreewitz,14.404286,51.510861,1,NRT_6h,,Elbe,DE,2100.0,2033.0,Elbe,3.0,0,True,1,1,1,1,1,1,99.03,True,4632500.0,3162500.0,6.0,ID_93.mod,,93,True,1007,True,Spree,0.77,0.776,1.048,0.991
94,EFAS,12,Goerlitz,14.993189,51.161195,1,NRT_6h,,Oder,DE,1600.0,1621.0,Oder,3.0,0,True,1,1,0,1,1,1,175.63,True,4672500.0,3127500.0,6.0,ID_94.mod,,94,True,1007,True,Lusatian Neisse,0.792,0.849,0.948,1.133
95,EFAS,12,Gornja Radgona,15.9956,46.6811,1,HIST_6h,,Danube,SI,10200.0,10197.2,Danube,3.0,0,True,1,1,1,1,1,1,202.34,True,4772500.0,2642500.0,6.0,ID_95.mod,,95,True,1005,True,Mur,0.809,0.851,1.077,1.091
96,EFAS,12,Ptuj,15.8675,46.4169,1,HIST_6h,,Danube,SI,13750.0,13664.1,Danube,3.0,0,True,1,1,1,1,1,1,214.62,True,4767500.0,2612500.0,6.0,ID_96.mod,Dams  strongly regulated,96,True,1005,True,Drava,0.727,0.738,1.022,1.073
