id,name,river,subcatchment,catchment,country,area,strahler,pfafstetter,calibrated,X,Y,notes,KGE,correlation,bias,variability
79,Lichtenwalde 1,Zschopau,Mulde,Elbe,DE,1600,4.0,6221.0,True,4532500,3092500,,0.814,0.832,0.958,1.066
80,Colditz,Zwickauer Mulde,Mulde,Elbe,DE,2325,2.0,6311.0,True,4517500,3112500,,0.668,0.844,0.909,1.279
81,Kleindalzig,White Elster,Saale,Elbe,DE,2975,3.0,4231.0,True,4482500,3122500,zeros removed with qc,0.878,0.881,0.999,0.973
82,Golzern 1,United Mulde,Mulde,Elbe,DE,5500,2.0,6111.0,True,4512500,3127500,,0.868,0.879,0.955,1.029
83,Bad Dueben 1,United Mulde,Mulde,Elbe,DE,6050,2.0,6111.0,True,4502500,3162500,,0.863,0.87,0.988,1.042
84,Oberthau,White Elster,Saale,Elbe,DE,4950,3.0,4211.0,True,4477500,3142500,,,,,
85,Boehlen 1,Pleisse,Saale,Elbe,DE,1400,4.0,4221.0,True,4487500,3132500,,0.765,0.779,1.075,0.97
86,Neuwiese,Schwarze Elster,Schwarze Elster,Elbe,DE,675,2.0,8111.0,True,4617500,3157500,,0.713,0.767,1.136,0.904
87,Schoena,Elbe,"Elbe, below Ohre",Elbe,DE,51400,1.0,9111.0,True,4617500,3092500,,0.669,0.755,1.221,1.026
88,Pirna,Elbe,"Elbe, below Ohre",Elbe,DE,52000,1.0,9111.0,False,4607500,3102500,No discharge data available for calibration period,,,,
89,Dresden,Elbe,"Elbe, below Ohre",Elbe,DE,53125,1.0,9111.0,True,4582500,3112500,,0.7,0.764,1.185,0.997
90,Meissen,Elbe,"Elbe, below Ohre",Elbe,DE,53950,1.0,9111.0,False,4562500,3122500,No discharge data available for calibration period,,,,
91,Podrosche 3,Lusatian Neisse,Neisse,Oder,DE,2100,2.0,4111.0,False,4657500,3167500,close to 150,0.794,0.83,0.921,1.085
92,Sprey,Spree,Havel,Elbe,DE,1650,3.0,2221.0,False,4637500,3152500,close to 93,,,,
93,Spreewitz,Spree,Havel,Elbe,DE,2100,3.0,2211.0,True,4632500,3162500,,0.77,0.776,1.048,0.991
94,Goerlitz,Lusatian Neisse,Neisse,Oder,DE,1600,2.0,4111.0,True,4672500,3127500,,0.792,0.849,0.948,1.133
95,Gornja Radgona,Mur,Drava,Danube,SI,10200,,142111.0,True,4772500,2642500,,0.809,0.851,1.077,1.091
96,Ptuj,Drava,Drava,Danube,SI,13750,,143151.0,True,4767500,2612500,Dams  strongly regulated,0.727,0.738,1.022,1.073
97,Borl,Drava,Drava,Danube,SI,14775,,143131.0,False,4777500,2602500,Discharge is too small compared to catchment area wrong location,,,,
98,Radovljica,Sava,Sava,Danube,SI,900,,109551.0,True,4642500,2587500,Use after 01-2014 oscillations in low flow,0.833,0.841,1.023,0.956
99,Medno,Sava,Sava,Danube,SI,2125,,109511.0,True,4667500,2567500,Dam,0.873,0.876,1.029,1.004
100,Å Entjakob,Sava,Sava,Danube,SI,2150,,109511.0,False,4672500,2562500,oscillation in low flow almost same location as 99 and almost same data   use 99,,,,
101,Hrastnik,Sava,Sava,Danube,SI,5200,,109311.0,True,4717500,2567500,,0.926,0.927,1.001,0.991
102,Jesenice na Dolenjskem,Sava,Sava,Danube,SI,10675,,109131.0,True,4767500,2542500,,0.896,0.898,0.989,0.98
103,Moste,Ljubljanica,Sava,Danube,SI,1825,,109411.0,True,4667500,2557500,,0.933,0.934,1.01,1.001
104,Medlog,Savinja,Sava,Danube,SI,1000,,109211.0,True,4722500,2582500,,,,,
105,Laško,Savinja,Sava,Danube,SI,1675,,109211.0,True,4727500,2572500,,,,,
106,Veliko Širje,Savinja,Sava,Danube,SI,1700,,109211.0,False,4722500,2572500,almost same location as 105 and almost same data   use 105,,,,
107,Podbočje,Krka,Sava,Danube,SI,1875,,109161.0,True,4747500,2547500,use after 02-1998,0.854,0.914,0.883,0.982
108,Solkan,Soca,Soca,Soca,SI,1550,1.0,3.0,True,4602500,2542500,,0.866,0.871,0.97,1.016
109,Bollendorf,Sauer,Moselle,Rhine,DE,3250,,4411.0,True,4062500,2972500,,0.88,0.886,0.965,1.01
110,Boos,Nahe,Nahe,Rhine,DE,2850,,6111.0,False,4157500,2967500,Close to 112,0.893,0.905,1.003,1.049
111,Dietersheim,Nahe,Nahe,Rhine,DE,4025,,6111.0,False,4172500,2982500,Same as 112  use 112,0.852,0.886,0.948,1.079
112,Grolsheim,Nahe,Nahe,Rhine,DE,4000,,6111.0,True,4172500,2977500,,,,,
113,Martinstein,Nahe,Nahe,Rhine,DE,1525,,6311.0,True,4142500,2967500,,0.842,0.856,0.941,1.03
114,Odenbach,Glan,Nahe,Rhine,DE,1075,,6211.0,True,4152500,2952500,,0.884,0.895,1.042,1.026
117,Bad Vilbel,Nidda,Main,Rhine,DE,1575,,8211.0,True,4232500,3007500,,0.857,0.862,0.962,1.007
118,Hanau,Kinzig,Main,Rhine,DE,900,,8411.0,True,4247500,3002500,,0.887,0.899,0.952,0.983
119,Ilbenstadt,Nidda,Main,Rhine,DE,1075,,8211.0,False,4232500,3017500,Close to 117,0.842,0.856,1.046,0.955
120,Marburg,Lahn,Lahn,Rhine,DE,1675,,5211.0,True,4237500,3082500,,0.878,0.881,0.972,1.002
122,Porttipahta,Kitinen,Kitinen,Kemijoki,FI,2100,2.0,81.0,False,5022500,5062500,dam  low data quality,-0.389,-0.173,0.259,1.046
123,"Kitinen, Kokkosniva",Kitinen,Kitinen,Kemijoki,FI,6575,2.0,81.0,True,5072500,4992500,oscillations in low flow  dam strongly regulated,0.605,0.63,0.896,1.091
124,Jumisko,Jumiskonjoki,Jumiskonjoki,Kemijoki,FI,1300,2.0,61.0,False,5112500,4922500,large oscillations low quality data,,,,
125,Kemihaara,Kemijoki,"Kemijoki, headwaters",Kemijoki,FI,10325,1.0,91.0,True,5092500,5002500,,0.807,0.834,0.909,1.036
126,Seitakorva,Kemijoki,"Kemijoki, below Jumiskonjoki",Kemijoki,FI,28675,1.0,51.0,False,5092500,4912500,dam moved downstream strongly regulated large oscillations in low flow  same for daily data,0.641,0.658,1.049,1.1
127,Vanttauskoski,Kemijoki,"Kemijoki, below Jumiskonjoki",Kemijoki,FI,30300,1.0,51.0,True,5062500,4897500,dam  oscillations moved downstream of dam,0.658,0.694,1.038,1.149
128,Vikajärvi  luusua,Raudanjoki,Raudanjoki,Kemijoki,FI,3150,2.0,41.0,True,5037500,4917500,,0.84,0.847,0.958,0.981
129,"Olkkajärvi, Permantokoski",Raudanjoki,Raudanjoki,Kemijoki,FI,3550,2.0,41.0,False,5037500,4907500,low quality data oscillations in low flow,,,,
130,"Ounasjoki, Köngäs",Ounasjoki,Ounasjoki,Kemijoki,FI,4625,2.0,23.0,True,4947500,5047500,,0.756,0.827,0.832,0.965
131,Unari  luusua,Meltausjoki,Ounasjoki,Kemijoki,FI,1175,3.0,22.0,True,5002500,4967500,,0.753,0.776,0.911,0.945
132,"Ounasjoki, Marraskoski",Ounasjoki,Ounasjoki,Kemijoki,FI,12900,2.0,21.0,True,4997500,4932500,,0.832,0.843,0.962,0.955
133,Valajaskoski,Kemijoki,"Kemijoki, below Ounasjoki",Kemijoki,FI,49325,1.0,11.0,False,5017500,4897500,low quality data oscillations in low flow,0.812,0.824,1.057,0.971
134,Isohaara,Kemijoki,"Kemijoki, below Ounasjoki",Kemijoki,FI,52475,1.0,11.0,True,4987500,4817500,oscillations in low flow,0.843,0.849,1.016,0.961
135,"Muonionjoki, Kaaresuvanto",Muonio,Torne,Torne,FI,5875,2.0,4.0,True,4832500,5082500,,0.666,0.824,0.729,0.916
136,"Muonionjoki, Muonio",Muonio,Torne,Torne,FI,9250,2.0,4.0,True,4887500,5042500,,0.618,0.803,0.692,0.89
137,"Tengeliönjoki, Haapakoski",Tengelionjoki,Torne,Torne,FI,3000,2.0,2.0,False,4937500,4867500,oscillations,0.649,0.701,1.115,1.145
138,"Inarijoki, Karigasniemi",Anarjohka,Tana,Tana,FI,3050,2.0,4.0,True,4942500,5212500,,0.698,0.787,0.789,1.031
139,Onnelansuvanto,Tana,Tana,Tana,FI,10650,1.0,3.0,True,4972500,5282500,,0.528,0.748,0.604,0.954
140,"Utsjoki, Patoniva",Utsjoki,Tana,Tana,FI,1500,2.0,2.0,True,4977500,5262500,,0.613,0.671,0.935,0.808
141,Kettujoki,Kettujoki,Paatsjoki,Paatsjoki,FI,2250,2.0,4.0,True,4992500,5172500,,0.74,0.759,0.945,0.919
142,Juutuanjoki,Juutuanjoki,Paatsjoki,Paatsjoki,FI,5250,1.0,3.0,True,4997500,5162500,,0.829,0.85,0.948,0.938
143,"Ivalojoki, Pajakoski",Ivalo,Paatsjoki,Paatsjoki,FI,3300,2.0,2.0,True,5022500,5137500,,0.835,0.854,0.945,0.948
144,Kaitakoski,Paatsjoki,Paatsjoki,Paatsjoki,FI,14575,1.0,1.0,True,5062500,5187500,lake  strongly regulated,0.319,0.329,0.985,1.117
145,Kallio 2,Muonio,Torne,Torne,SE,14450,2.0,4.0,True,4907500,4957500,,0.698,0.827,0.802,0.852
146,Pajala pumphus,Torne,Torne,Torne,SE,16875,1.0,5.0,True,4887500,4957500,,0.837,0.891,0.902,1.071
147,Räktfors,Kalix,Kalix,Kalix,SE,17425,1.0,1.0,True,4897500,4832500,,0.829,0.872,0.908,0.934
148,Granåker,Vindel,Vindel,Umealven,SE,11850,2.0,2.0,True,4792500,4602500,,0.862,0.871,0.994,0.953
149,Sorsele2,Vindel,Vindel,Umealven,SE,6175,2.0,2.0,True,4667500,4737500,,0.842,0.862,0.956,0.936
150,Klein Badelmeusel,Lusatian Neisse,Neisse,Oder,DE,2650,2.0,4111.0,True,4642500,3187500,,0.747,0.755,0.953,1.046
151,Guben 2,Lusatian Neisse,Neisse,Oder,DE,4050,2.0,4111.0,False,4647500,3212500,Close to 150,0.716,0.75,0.89,1.076
152,Sachsenhausen Sohlabsturz,Havel,Havel,Elbe,DE,2575,2.0,2311.0,False,4542500,3297500,Unrealistic small data compared to cahchment size  same for daily data  possibly wrong location,0.639,0.657,0.907,0.935
153,Lobith,Rhine,Rhine,Rhine,NL,159675,,3311.0,True,4052500,3202500,,0.897,0.919,1.052,1.038
154,Borgharen-Dorp,Meuse,Meuse,Rhine,NL,22050,,2331.0,False,4022500,3097500,Drainage area from provider is wrong  Oscillation in low flow  could use hist_24 instead  close to 953,,,,
155,Fischerau / Ager,Ager,Traun,Danube,AT,1225,,191812.0,False,4602500,2777500,small oscillations and change in hydrometri zero,0.619,0.694,0.807,1.12
156,Achleiten / Donau,Danube,Danube,Danube,AT,76825,,192013.0,True,4582500,2837500,Moved to better reproduce confluence,0.851,0.891,1.084,1.059
158,Kienstock,Danube,Danube,Danube,AT,95975,,191311.0,True,4727500,2827500,Outliers removed with qc,0.85,0.875,1.065,1.05
159,Korneuburg,Danube,Danube,Danube,AT,101800,,191111.0,True,4792500,2817500,,0.838,0.859,1.066,1.045
160,Linz,Danube,Danube,Danube,AT,79650,,192013.0,False,4632500,2807500,old data,0.903,0.938,1.069,1.03
161,Wildungsmauer,Danube,Danube,Danube,AT,103800,,191111.0,True,4832500,2802500,,0.832,0.868,1.083,1.062
162,Ybbs,Danube,Danube,Danube,AT,92525,,191511.0,False,4692500,2797500,No discharge data available for calibration period,,,,
163,Amlach,Drava,Drava,Danube,AT,4900,,143511.0,False,4587500,2637500,oscillations,0.762,0.864,0.965,1.192
164,Lavamünd Ort,Drava,Drava,Danube,AT,11100,,143171.0,False,4692500,2627500,dams  large oscillations change in hydrometric zero,0.526,0.673,0.861,1.313
165,Lienz-Peggetz,Drava,Drava,Danube,AT,1975,,143911.0,False,4532500,2637500,oscillations  negative values  zeros removed with qc close to 166,,,,
166,Oberdrauburg-OWF,Drava,Drava,Danube,AT,2275,,143911.0,True,4547500,2632500,,0.877,0.894,0.946,1.03
167,Sachsenburg (Brücke),Drava,Drava,Danube,AT,2650,,143911.0,False,4577500,2637500,Large outliers removed with qc low quality data,,,,
168,Admont (Enns),Enns,Enns,Danube,AT,2650,,191611.0,True,4662500,2727500,,0.889,0.891,0.987,0.983
169,Steyr (Ortskai),Enns,Enns,Danube,AT,5975,,191611.0,False,4652500,2782500,oscillations  change in low flow could use hist_24,0.731,0.765,0.873,0.964
170,Trautenfels,Enns,Enns,Danube,AT,1450,,191611.0,False,4622500,2717500,oscillations in low flow use 168,0.705,0.827,0.84,1.176
173,Federaun,Gail,Drava,Danube,AT,1300,,143411.0,True,4612500,2612500,Large outliers  one remaining after qc,-0.229,0.749,0.891,2.199
175,Gumisch,Gurk,Drava,Danube,AT,2175,,143211.0,True,4662500,2622500,,0.822,0.839,1.042,0.937
176,Launsdorf,Gurk,Drava,Danube,AT,1275,,143211.0,True,4667500,2637500,,0.681,0.714,1.134,0.958
177,Mölbling,Gurk,Drava,Danube,AT,925,,143211.0,False,4662500,2642500,use after 06-2011  close to 176,,,,
178,Brixlegg,Inn,Inn,Danube,AT,8550,,203311.0,False,4457500,2702500,large oscillations  increasing low flow,,,,
179,Innsbruck (oberh. Sill),Inn,Inn,Danube,AT,5850,,203331.0,True,4422500,2682500,oscillations  zeros removed with sanitation strongly regulated,0.739,0.903,0.758,0.989
180,Jenbach-Rotholz,Inn,Inn,Danube,AT,7300,,203331.0,True,4452500,2697500,oscillations strongly regulated,0.805,0.906,0.84,0.938
181,Kajetansbrücke,Inn,Inn,Danube,AT,2125,,203331.0,False,4357500,2642500,Large oscillations  strongly regulated close to 184,0.11,0.761,0.397,1.608
182,Kirchbichl-Bichlwang,Inn,Inn,Danube,AT,9525,,203311.0,False,4477500,2712500,oscillations,0.857,0.901,0.931,0.923
183,Magerbach,Inn,Inn,Danube,AT,5175,,203331.0,False,4387500,2682500,oscillations  outliers  and  negative values removed with sanitation strongly regulated,0.681,0.899,0.698,1.013
184,Perjen,Inn,Inn,Danube,AT,3650,,203331.0,True,4362500,2672500,Large oscillations  strongly regulated,0.813,0.835,1.003,0.913
185,Prutz,Inn,Inn,Danube,AT,2525,,203331.0,False,4367500,2657500,large oscillations negative values removed with qc  strongly regulated close to 184,0.004,0.755,0.363,1.725
186,Telfs (Fussgängersteg),Inn,Inn,Danube,AT,5300,,203331.0,False,4397500,2687500,oscillations strongly regulated,,,,
187,Lienz,Isel,Drava,Danube,AT,1200,,143921.0,False,4527500,2642500,outliers negative values a zeros  larger values than daily data,0.804,0.894,0.838,0.973
188,Stiefern,Kamp,Kamp,Danube,AT,1450,,191211.0,True,4737500,2847500,dam,0.584,0.617,1.151,1.06
189,Lechaschau,Lech,Lech,Danube,AT,1000,,212013.0,True,4367500,2702500,outliers removed with qc,0.849,0.852,1.011,1.027
190,Deutsch Brodersdorf (Straßenbrücke),Leitha,Leitha,Danube,AT,1975,,174111.0,False,4802500,2777500,close to 191,-0.234,0.64,2.156,0.759
191,Deutsch Haslau,Leitha,Leitha,Danube,AT,2300,,174111.0,True,4832500,2792500,,-0.074,0.768,2.047,0.945
192,Spittal (Fasan),Lieser,Drava,Danube,AT,1050,,143611.0,True,4587500,2642500,,0.423,0.794,1.538,1.031
195,Kolbnitz a. d. Tauernbahn VHP,Moll,Drava,Danube,AT,900,,143811.0,False,4567500,2647500,oscillations moved upstream,0.451,0.765,0.809,1.458
196,Möllbrücke,Moell,Drava,Danube,AT,1025,,143811.0,False,4572500,2647500,same location as 195  low quality data,,,,
197,Bruck un der Mur unter Mür,Mur,Drava,Danube,AT,6325,,142511.0,True,4717500,2712500,,0.808,0.846,1.044,1.105
198,Gestüthof,Mur,Drava,Danube,AT,1725,,142511.0,True,4642500,2677500,,0.712,0.719,1.05,1.038
199,Graz,Mur,Drava,Danube,AT,7100,,142311.0,False,4732500,2677500,outliers,,,,
200,Mellach,Mur,Drava,Danube,AT,7275,,142311.0,True,4742500,2662500,,0.581,0.839,1.26,1.287
201,Mureck (Schreibpegel),Mur,Drava,Danube,AT,9700,,142111.0,False,4762500,2637500,oscillations,0.619,0.825,1.223,1.255
202,St.Georgen ob Judenburt,Mur,Drava,Danube,AT,2375,,142511.0,False,4662500,2687500,close to 198,0.771,0.775,0.977,0.965
203,Zeltweg,Mur,Drava,Danube,AT,3000,,142511.0,True,4677500,2687500,,0.745,0.794,1.094,1.118
207,Siezenheim,Saalach,Inn,Danube,AT,950,,202211.0,True,4542500,2742500,Moved South to avoid conflict in inflow point,0.789,0.856,0.946,1.145
208,Golling,Salzach,Inn,Danube,AT,3675,,202311.0,True,4562500,2722500,,0.89,0.896,1.036,1.01
209,Oberndorf,Salzach,Inn,Danube,AT,6150,,202111.0,False,4537500,2762500,almost same location as 475 and same data use 475,,,,
210,Salzburg,Salzach,Inn,Danube,AT,4625,,202311.0,False,4552500,2747500,Outliear oscillations missing data better could use hist24,,,,
211,Wallnerau,Salzach,Inn,Danube,AT,2275,,202311.0,False,4552500,2692500,oscillations,-0.282,0.751,2.181,0.567
212,Werfen,Salzach,Inn,Danube,AT,3050,,202311.0,True,4562500,2707500,,0.852,0.865,1.011,0.94
213,Leibnitz,Sulm,Drava,Danube,AT,1125,,142211.0,True,4742500,2642500,large outliers removed with qc,0.328,0.695,1.039,1.597
214,Raabs an der Thaya,Thaya,Morava,Danube,AT,1375,,182311.0,True,4722500,2872500,,0.636,0.697,1.196,1.043
215,Theresienthal,Traun,Traun,Danube,AT,1425,,191813.0,False,4602500,2762500,Not enough discarge data available for calibration period,,,,
216,Wels-Lichtenegg,Traun,Traun,Danube,AT,3425,,191811.0,False,4612500,2782500,low quality data outliers in low flow,0.806,0.858,1.131,0.977
221,Greimpersdorf,Ybbs,Ybbs,Danube,AT,1100,,191411.0,True,4682500,2787500,,0.828,0.842,1.022,1.062
223,Hart im Zillertal,Ziller,Inn,Danube,AT,1175,,203321.0,False,4462500,2692500,large oscillations low quality  same for daily data,0.64,0.647,0.941,1.032
225,Gisingen,Ill,Ill,Rhine,AT,1300,,15611.0,False,4292500,2677500,large ascillationslow quality data,0.723,0.751,0.923,0.906
226,Bangs,Rhine,Rhine,Rhine,AT,4650,,15711.0,False,4282500,2677500,oscillations,,,,
227,Lustenau (Eisenbahnbrücke),Rhine,Rhine,Rhine,AT,6350,,15511.0,True,4292500,2697500,oscillations,0.844,0.873,0.915,0.971
228,Bezdan,Danube,Danube,Danube,RS,209100,,151111.0,False,5002500,2577500,zeros  same location as 866,0.716,0.791,1.111,1.157
229,Banatska Palanka,Danube,Danube,Danube,RS,564150,,72111.0,False,5217500,2482500,no data all zeros,,,,
230,Jasa Tomic,Tamis,Tamis,Danube,RS,4550,,92411.0,False,5167500,2547500,Removed because of error in LDD,,,,
231,Kusic,Nera,Danube,Danube,RS,1425,,72211.0,True,5232500,2487500,,0.819,0.858,0.98,0.89
232,Zajecar,Beli Timok,Danube,Danube,RS,2125,,72011.0,True,5307500,2387500,,0.757,0.77,1.046,1.064
