like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.77575874,1.1670425,0.8755095,0.3062739,0.44219655,0.71281964,0.090374805,3.463114,1.0
1.4397914,0.8990449,0.33738652,0.002910294,0.396403,0.49253485,0.9822621,2.754768,1.0
1.4058971,1.2412838,0.399932,0.8959435,0.89827496,0.42835847,0.24971533,1.4203919,1.0
0.74347574,0.5239072,0.5463463,0.9104077,0.11193502,0.7276105,0.6555067,4.640133,1.0
0.74192667,0.84631515,0.44294557,0.23311262,0.41510534,0.8490573,0.98813635,1.2137785,1.0
0.61495245,0.6448148,0.62676513,0.003738265,0.6755747,0.69256765,0.8105496,3.7058702,1.0
0.4870926,0.8431482,0.5558152,0.60533243,0.32606533,0.9195526,0.013924479,3.7154825,1.0
1.2579665,1.1160431,0.4340135,0.39804,0.19430822,0.51467186,0.3191003,2.9771235,1.0
1.8395662,0.9703695,0.2051092,0.27021736,0.06393416,0.6032168,0.20417093,4.270726,1.0
0.63730085,0.69544345,0.816592,0.9499358,0.49213615,0.9867952,0.10369505,1.2097267,1.0
1.7551702,0.95145667,0.21167716,0.9304246,0.009726597,0.8065989,0.81460965,4.277701,1.0
0.95526236,1.3496075,0.96960175,0.28322092,0.37131846,0.52587456,0.7307995,4.4112916,1.0
1.1200764,1.4410696,0.69307965,0.67472106,0.4214324,0.1670209,0.44689518,1.5928607,1.0
1.0897194,1.3401706,0.7121716,0.36849767,0.49243477,0.34521976,0.5256686,3.500448,1.0
1.1126807,1.4100485,0.7179905,0.59235495,0.36134055,0.26285893,0.4199468,2.499992,1.0
1.1169391,1.4824597,0.9082833,0.91461825,0.9085612,0.20705298,0.72753155,4.8561344,1.0
0.50289774,1.2307395,0.78531873,0.19375879,0.31020707,0.8993291,0.61138207,2.406648,1.0
1.0711378,1.3419024,0.771526,0.8257842,0.7858885,0.37539798,0.7812175,3.5179534,1.0
1.044945,0.7862478,0.43964133,0.8502257,0.8221439,0.86626136,0.20916572,1.8698242,1.0
0.96799976,1.2978042,0.8987071,0.7248398,0.8181429,0.53857905,0.6612214,2.8884206,1.0
1.9306289,1.3983625,0.21178721,0.08233033,0.26805604,0.13556135,0.87828445,2.1869962,1.0
1.9117736,1.2485206,0.2093807,0.8431708,0.014305146,0.28375092,0.9012277,2.7821383,1.0
0.40214124,0.7274828,0.879798,0.7637418,0.7842248,0.9449638,0.98878294,2.9047961,1.0
1.1058737,1.4579307,0.8686824,0.68106115,0.4655489,0.31030604,0.42337155,4.6974225,1.0
1.1200496,1.4841634,0.8856047,0.023743851,0.33324665,0.21800901,0.36910957,1.8363787,1.0
1.7485399,0.92952317,0.21854372,0.84984374,0.16835979,0.70568043,0.21387865,3.131828,1.0
1.1065499,1.4025546,0.73489016,0.18695499,0.029423008,0.28496814,0.16149576,4.7013245,1.0
0.6942215,0.7179001,0.9710029,0.5319833,0.89523643,0.7499641,0.8365645,2.2173553,1.0
0.9368093,0.53405213,0.4807723,0.45841944,0.04951944,0.6798884,0.63693136,1.19399,1.0
1.3841529,0.9370067,0.3509324,0.91520476,0.7089895,0.6485856,0.4339129,3.1230233,1.0
0.61800385,0.87577355,0.5896881,0.4232744,0.33035922,0.7396559,0.90136665,1.3531364,1.0
1.0854733,1.3737419,0.78412926,0.92662996,0.92762446,0.36664364,0.6638734,3.8355305,1.0
1.0213509,1.3889722,0.8732954,0.41931254,0.8125812,0.5283658,0.23296572,3.5222094,1.0
1.0949317,1.250494,0.6455138,0.35216612,0.38934854,0.53052694,0.06101167,1.389573,1.0
1.78678,1.3137432,0.25653577,0.67710215,0.39416707,0.29358846,0.36806527,4.290245,1.0
0.8260988,1.1812631,0.91299844,0.5008826,0.07802902,0.63515097,0.39848006,4.57278,1.0
1.0907488,1.163011,0.5764872,0.3027265,0.20524032,0.3779488,0.85176325,4.4139056,1.0
