like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.5897576,2.1426332,0.4822211,0.859391,0.45195118,0.89834505,0.38517544,2.9145849,1.0
0.51851815,2.6391106,0.573442,0.023067491,0.5138108,0.9394987,0.20115526,3.30381,1.0
0.3903738,1.6011403,0.98979527,0.7173823,0.7370219,0.11184756,0.61105275,1.6834602,1.0
0.4990448,1.1518948,0.61886215,0.150081,0.98105377,0.23181778,0.8536085,2.741787,1.0
0.50278646,1.9989154,0.62994355,0.12584753,0.056665245,0.8820372,0.1492749,1.8198427,1.0
0.8738283,1.2723567,0.30738294,0.514235,0.76563644,0.18542372,0.91596663,1.5270923,1.0
0.5513553,2.6096168,0.51727974,0.8701246,0.14802378,0.9556829,0.53042626,1.2120104,1.0
0.93826026,1.2175642,0.24486098,0.6934247,0.36949354,0.63735706,0.48404512,1.9676213,1.0
0.3861263,1.1929954,0.8354321,0.07784838,0.16394038,0.32156447,0.17562369,1.4935367,1.0
0.39676684,0.9795104,0.76755255,0.8490399,0.66502756,0.52955323,0.33443114,1.9282387,1.0
0.99648464,1.0302826,0.21232443,0.20904689,0.017358474,0.5449109,0.21052188,1.8640239,1.0
0.52336884,3.3463695,0.6836748,0.36942142,0.3517672,0.94458133,0.5911393,2.1520216,1.0
0.9335857,1.4269948,0.24123503,0.04365833,0.23886544,0.8188404,0.7685847,4.7276163,1.0
0.37173724,0.6193085,0.96836716,0.72491163,0.18239348,0.7341174,0.35224164,3.124463,1.0
0.84384805,1.028552,0.326701,0.61779505,0.5600105,0.33727264,0.79833263,2.4993768,1.0
0.5677663,1.1698246,0.5479827,0.44197178,0.26537362,0.20575441,0.49280372,3.7538908,1.0
0.39464492,1.046542,0.78317016,0.7386092,0.51577675,0.39664167,0.5861902,1.739073,1.0
0.41575244,0.624845,0.9860286,0.20236777,0.5167855,0.7353563,0.4149865,2.7078805,1.0
0.43947765,1.0047215,0.6923702,0.16241188,0.41602474,0.33893242,0.91967446,1.6164589,1.0
0.40506285,0.7815015,0.72498244,0.50863886,0.6531972,0.59510064,0.21845049,4.5155573,1.0
1.0213822,1.3933302,0.20862332,0.7171245,0.14826591,0.12692413,0.5966707,3.4932995,1.0
0.6227673,2.1312532,0.42487732,0.052546848,0.31333506,0.9590357,0.51075727,1.1708066,1.0
0.5687159,2.6236694,0.5184422,0.963079,0.46709284,0.8779595,0.9743737,2.9770405,1.0
0.58382684,1.5759835,0.5007228,0.7109061,0.13523437,0.6220689,0.9899217,4.1964445,1.0
0.55119497,1.1072066,0.5632097,0.23361379,0.3689604,0.29649085,0.05502947,4.920645,1.0
0.83501273,0.9012427,0.33175188,0.47049308,0.94088936,0.40551615,0.7871735,4.6676655,1.0
0.86089444,0.6856465,0.29432115,0.4982408,0.3648274,0.8354695,0.026561858,1.986914,1.0
0.49727863,1.4189887,0.607153,0.5368505,0.423469,0.635053,0.8752571,4.9717584,1.0
0.41525602,1.0899396,0.73733175,0.13383916,0.20763122,0.2910839,0.94552946,2.5485752,1.0
0.5531593,1.7619628,0.46703923,0.49886113,0.17766963,0.9676128,0.886878,1.2769333,1.0
0.4379223,0.8767893,0.6861283,0.986482,0.11085659,0.70771444,0.16582891,4.163923,1.0
0.9669884,0.8481767,0.23381458,0.8468174,0.9117074,0.5359258,0.49266803,1.076085,1.0
0.46869332,0.9782767,0.6512294,0.94032305,0.5221194,0.46707794,0.41609067,2.3240116,1.0
0.5841855,3.4525018,0.66428244,0.45944652,0.7157481,0.8317987,0.89466304,3.2717676,1.0
0.5178862,0.6600224,0.55836123,0.40555725,0.62862617,0.6945239,0.44939914,4.8864646,1.0
0.53875226,2.5936344,0.6085388,0.43501976,0.676416,0.90881544,0.3076272,1.3160958,1.0
0.50808877,0.7566854,0.59422565,0.6194595,0.11567038,0.49862745,0.6098866,2.2576058,1.0
0.7156832,4.4429746,0.940824,0.18380044,0.76447815,0.92561126,0.4620787,4.5314016,1.0
0.5698098,2.811184,0.49962905,0.1886059,0.58314794,0.9345509,0.34086964,2.0816073,1.0
0.4599843,0.5670627,0.63232386,0.23200028,0.26031846,0.73572165,0.24419759,4.820136,1.0
0.4495079,1.1999097,0.68297106,0.115283184,0.75229675,0.18971676,0.6260443,3.6418734,1.0
0.6366381,1.8833976,0.4475474,0.6398691,0.5810466,0.68603045,0.80412847,1.6908673,1.0
0.38115636,1.1347634,0.871469,0.78182465,0.26914752,0.41881073,0.25245342,2.1625354,1.0
0.63325846,3.5430505,0.8821147,0.5010087,0.16099179,0.93449545,0.57222265,4.3263936,1.0
0.38595548,0.57739145,0.92931783,0.8797519,0.13978925,0.6255848,0.7966989,2.1800294,1.0
0.57379556,1.1004624,0.5419768,0.545377,0.940514,0.30764046,0.20076968,2.8760595,1.0
0.5584156,1.2319539,0.5570686,0.8960595,0.5937022,0.15149434,0.6147383,3.2577798,1.0
0.41529915,1.1091719,0.7380136,0.47761077,0.5604748,0.28392982,0.84491265,4.105712,1.0
0.62816745,1.2589172,0.49382693,0.21328771,0.39835358,0.12833695,0.21628624,2.325482,1.0
0.73434293,1.2162546,0.4082755,0.94693345,0.69123095,0.19543663,0.8572435,4.2463093,1.0
0.44735798,0.9296273,0.67318785,0.6825917,0.49749655,0.5300693,0.1389308,2.8631032,1.0
0.39173514,0.5502601,0.8983063,0.30048007,0.22830416,0.82389885,0.08905584,2.3854165,1.0
0.64521843,1.3623253,0.44259742,0.84095955,0.7526828,0.6877093,0.60939866,2.999298,1.0
0.8169419,0.71159256,0.33838162,0.14506818,0.37506694,0.5192609,0.48987252,2.6694665,1.0
0.44576493,3.1557841,0.9231385,0.079815514,0.87026566,0.9641593,0.8364856,4.8317614,1.0
0.38151675,0.99844843,0.7784344,0.11901336,0.22500212,0.69118756,0.051882997,1.5468509,1.0
0.5264504,2.980384,0.6685679,0.9072346,0.6992623,0.9423218,0.9097508,3.3002276,1.0
0.8294987,1.1139944,0.33752787,0.11349725,0.8162885,0.2803839,0.92864615,3.8641086,1.0
0.6305431,1.0285208,0.48998454,0.48133317,0.75767815,0.33974844,0.535691,2.696388,1.0
0.94661814,1.0317608,0.2561492,0.8018401,0.862299,0.3305159,0.93580264,1.2102315,1.0
0.38573965,1.3875824,0.90299296,0.8657845,0.30928856,0.12067734,0.176973,4.5554543,1.0
0.49902967,3.5406713,0.8369309,0.069667734,0.42674163,0.95653194,0.6508164,1.6734717,1.0
0.44546545,1.1709869,0.68896425,0.63589555,0.22283576,0.2268487,0.31602886,2.731034,1.0
0.38823858,1.5204437,0.9458912,0.7312324,0.14855659,0.12382091,0.41519508,2.5776522,1.0
0.6754081,1.2933041,0.45459485,0.9194949,0.96512955,0.10149852,0.5668105,2.8560486,1.0
0.8263251,1.7384261,0.30001095,0.86891526,0.21110465,0.87672055,0.94048184,3.6152427,1.0
0.45828253,1.0041103,0.6656386,0.9118664,0.6019707,0.33423397,0.9243288,1.3131235,1.0
0.38443813,1.3110508,0.8583907,0.56782037,0.82758296,0.15345466,0.25884598,3.8308911,1.0
0.75732166,1.2523575,0.3910775,0.39932585,0.6618508,0.17118104,0.33615348,2.8753016,1.0
0.5612482,0.71760523,0.5396287,0.5163033,0.055869766,0.5903339,0.35042217,1.3473425,1.0
0.49838787,1.6234007,0.6445797,0.17860872,0.4021828,0.6550249,0.80605596,4.2988343,1.0
0.74074143,1.2218338,0.40345263,0.87697387,0.31290892,0.19272666,0.7251428,2.8047268,1.0
0.43691823,0.661916,0.9480415,0.5663903,0.31800675,0.7386063,0.45246086,3.4247804,1.0
0.48231906,0.67819893,0.62311614,0.8715022,0.99520934,0.74538094,0.21505916,1.447124,1.0
0.87522584,1.0708152,0.30516136,0.7843132,0.7752804,0.5753439,0.14866689,1.1172271,1.0
0.63956183,0.8183527,0.4783823,0.101664506,0.9242834,0.42223647,0.8537311,2.1482704,1.0
0.40253523,1.3041034,0.7724473,0.77190304,0.7132431,0.10765197,0.5313303,2.158769,1.0
0.76409227,0.55429655,0.3728254,0.54084253,0.45989034,0.5082082,0.84666127,3.169558,1.0
0.55275255,2.598948,0.6340445,0.2433673,0.9087459,0.7627468,0.7108855,3.5661502,1.0
0.5463012,2.4866042,0.5800614,0.9466412,0.13004994,0.8701725,0.6804761,1.5092056,1.0
0.41480088,0.82488954,0.7211459,0.8230068,0.22088791,0.4421292,0.914208,3.8670626,1.0
0.41799414,0.79127485,0.77013624,0.82273453,0.9555304,0.7129694,0.5913594,1.670496,1.0
0.4655492,1.0927761,0.6590781,0.20516066,0.7417149,0.31403762,0.5132064,1.7109971,1.0
0.57748294,1.0022058,0.5365226,0.8726223,0.40293732,0.46558714,0.02691005,3.246462,1.0
0.5853671,2.8552074,0.5165848,0.31581223,0.9563019,0.82851356,0.6079849,2.634561,1.0
0.36553815,0.55978984,0.83018804,0.6227363,0.27077818,0.74221146,0.17236382,4.0491076,1.0
0.9934034,1.1908908,0.22589606,0.42392603,0.3742896,0.3105098,0.29308048,4.6560564,1.0
0.7586079,0.9692159,0.36709085,0.8833348,0.8176408,0.88906974,0.12523547,2.783111,1.0
0.4065621,0.65784997,0.8418747,0.8094884,0.25519675,0.69931024,0.5967154,1.7973216,1.0
0.5154585,1.075924,0.5994774,0.14811102,0.68337864,0.30067992,0.505955,3.5166001,1.0
0.3585378,0.6208043,0.86176765,0.23830406,0.8634086,0.5839372,0.69907063,4.0609274,1.0
0.3865925,1.3308798,0.83552516,0.3477457,0.14463398,0.11632297,0.22987112,3.3458161,1.0
0.5134134,1.2158,0.60325927,0.32725194,0.2268297,0.1696579,0.45769274,2.503054,1.0
0.42593694,0.70197695,0.83173937,0.17786029,0.46661055,0.73600596,0.41809168,4.077307,1.0
0.63014233,2.1569767,0.93397593,0.91647935,0.26468003,0.7733754,0.88960606,2.698955,1.0
0.5831429,2.5446606,0.8176979,0.39811486,0.51770097,0.70825857,0.94628716,2.6514847,1.0
0.41160974,1.1213167,0.7471802,0.79675066,0.898301,0.30037716,0.6223606,3.572725,1.0
0.96681905,0.9797981,0.2421359,0.36679336,0.33670273,0.4203075,0.18203512,3.435214,1.0
0.6597686,0.5026806,0.4496135,0.9163743,0.36244178,0.54414,0.6761848,1.7232242,1.0
0.56349754,1.9792887,0.9409398,0.3085966,0.9079476,0.89162695,0.28717345,2.5759015,1.0
0.6543877,1.0847391,0.4709851,0.45295417,0.96054125,0.39972505,0.056693524,4.36303,1.0
0.37354475,0.9824033,0.83774555,0.120391995,0.41804248,0.497685,0.38092062,3.470072,1.0
0.55345464,2.1779342,0.78551656,0.3310665,0.35687634,0.88295424,0.2589095,3.8690946,1.0
0.8999963,1.3848819,0.26538765,0.25359198,0.25351945,0.709616,0.39317444,2.0491047,1.0
0.41234726,1.1812599,0.7479877,0.24587272,0.98896486,0.24744506,0.33472073,3.6302586,1.0
1.01036,1.1650648,0.20212114,0.41653103,0.91956735,0.47785792,0.314425,3.4934254,1.0
0.79525715,0.8802451,0.3561804,0.21059114,0.19829747,0.5276654,0.13550782,2.6959317,1.0
0.49470782,0.95609033,0.5737963,0.94426084,0.19642706,0.9386745,0.13274398,1.5403979,1.0
0.5983983,2.9248981,0.77320284,0.50407326,0.18222633,0.7872098,0.7794975,1.5719767,1.0
0.78671384,1.9498003,0.33630323,0.013700851,0.8390864,0.68750626,0.8784551,4.060235,1.0
0.71732366,0.83386785,0.41618454,0.01324129,0.8408348,0.4499205,0.6832791,1.7756763,1.0
0.5288165,1.4377021,0.8632322,0.7508534,0.76115084,0.8259648,0.44966054,4.4206605,1.0
0.47336522,1.1561629,0.65015006,0.26776716,0.7143476,0.23886861,0.51808876,1.8611705,1.0
0.3801246,1.1163558,0.8885379,0.3800982,0.23837104,0.38730586,0.48220983,3.5831277,1.0
0.54092014,1.0268625,0.53241295,0.8592054,0.920035,0.947029,0.11793486,4.4576983,1.0
0.4578652,1.23828,0.67121494,0.356481,0.22441326,0.15488167,0.40718076,2.1087515,1.0
0.38440812,1.1878167,0.84714437,0.44827104,0.34427324,0.40646246,0.0031453536,1.5159423,1.0
0.80407625,1.8047247,0.31509706,0.94834083,0.6911798,0.94731647,0.4023985,3.0786304,1.0
0.4795256,1.493108,0.6202015,0.9108004,0.06349222,0.93388414,0.1923953,3.63655,1.0
0.61338276,0.48355463,0.47632882,0.01651576,0.3573373,0.6818427,0.11390758,4.612404,1.0
0.7510757,0.63886994,0.37736994,0.5686535,0.45294175,0.58961225,0.58050793,1.3049927,1.0
0.38070232,0.4632418,0.76936764,0.87334454,0.9287014,0.6179415,0.75689936,1.6624768,1.0
0.8503542,1.3294141,0.29911372,0.84149206,0.77455163,0.706852,0.44297335,4.9029913,1.0
0.78034264,2.1202052,0.3310588,0.48045164,0.48866087,0.8425306,0.766866,1.1978639,1.0
0.5442976,0.57251847,0.54386324,0.24782436,0.64613825,0.6605662,0.12829167,4.7459245,1.0
0.9957863,0.9551282,0.21489637,0.37842008,0.44647077,0.42532316,0.4192171,4.922425,1.0
0.5937737,2.271738,0.48920044,0.11438945,0.21051225,0.73589694,0.6510618,3.7598078,1.0
0.86223626,1.1154712,0.29514042,0.42982763,0.12310503,0.57897294,0.64682424,1.9464371,1.0
0.4242826,0.8935018,0.70448864,0.9021213,0.017330686,0.5726767,0.22533737,2.6474133,1.0
