like1,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain,like_val
1.6786114,0.47587916,0.91955453,0.0013022037,0.09372764,0.95998675,3.6955645,0.0,2.6485745157366183
1.6572456,0.34972724,0.74223536,0.743088,0.099788524,0.5662284,4.1133194,0.0,2.7186292587261827
1.6652827,0.38026407,0.70351696,0.1301548,0.2704879,0.81832546,1.968093,0.0,2.733306223381502
1.633885,0.34416303,0.89558625,0.7382054,0.38279623,0.82871926,2.9683275,0.0,2.695868059494343
1.6470547,0.3188966,0.78156924,0.08109441,0.44057158,0.897146,2.7313504,0.0,2.7086613100426424
1.6275473,0.6270414,0.95008683,0.42212692,0.1864749,0.57386434,3.850593,0.0,2.6870372205061632
1.6583203,0.21315846,0.7465413,0.74468774,0.07014878,0.77157366,3.2927182,0.0,2.716893222371143
1.6672627,0.4184439,0.6843306,0.40027124,0.43266585,0.9368327,1.1495249,0.0,2.734350365107409
1.6424177,0.46564448,0.810899,0.29064974,0.062955484,0.71885705,2.3606386,0.0,2.7039810568273097
1.6631879,0.35144502,0.7267553,0.20955448,0.21643007,0.65652776,2.103332,0.0,2.7220231632652845
1.6194413,0.34529188,0.92021054,0.31151468,0.372813,0.8676297,1.7392517,0.0,2.696199773727305
1.6339018,0.2614489,0.875976,0.7380246,0.25164378,0.8803637,3.2886345,0.0,2.698928002268447
1.6301154,0.54785746,0.8734724,0.093429044,0.09874831,0.86591345,2.8838253,0.0,2.704370873439957
1.667304,0.23942441,0.71017283,0.7015439,0.06717838,0.6084572,1.9852201,0.0,2.7269225836607744
1.6339502,0.62959206,0.9144675,0.29486254,0.08122005,0.7382115,4.71337,0.0,2.689122080721911
1.6641767,0.44291118,0.7260337,0.076492295,0.15240055,0.62618446,4.979214,0.0,2.722153044076723
1.6237977,0.3479868,0.9634015,0.82652056,0.44077617,0.8687663,3.2359986,0.0,2.685180788217682
1.6336106,0.3558351,0.886245,0.31234625,0.06877008,0.59224975,2.8627214,0.0,2.695087232868637
