like1,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain,like_val
1.6640245,0.28477815,0.80353296,0.061714575,0.27840465,0.64742494,2.7393522,0.0,0.7559069568052497
1.7005885,0.52181226,0.6747625,0.10872214,0.2766015,0.93082553,3.0424979,0.0,0.7806732038114367
1.6745536,0.2619602,0.84584844,0.7891694,0.12351174,0.96250707,4.0938973,0.0,0.7632805475599092
1.6553959,0.25369984,0.87458026,0.932549,0.02832506,0.9028603,4.463387,0.0,0.7496450111386793
1.6787944,0.36855197,0.73492426,0.6532427,0.47972628,0.68409103,3.4602396,0.0,0.7632282006584595
1.6534234,0.662568,0.880444,0.86349857,0.36588356,0.908053,2.828367,0.0,0.7491770849010065
1.688648,0.39774233,0.67688656,0.24741976,0.17045052,0.7704321,1.0547954,0.0,0.7738161605498569
1.6638566,0.22627108,0.80211926,0.56433177,0.36608127,0.5889765,4.092495,0.0,0.7567511679063649
1.6692127,0.62707436,0.7729256,0.25962195,0.027699878,0.7324459,1.3045251,0.0,0.7607035830343715
1.7036258,0.5016476,0.6799966,0.22755316,0.2949405,0.95047855,3.6893277,0.0,0.7837268522713773
1.643655,0.36168072,0.92789555,0.17278211,0.35461217,0.534758,2.0612743,0.0,0.7434629588881962
1.6914918,0.3652441,0.67391634,0.8459378,0.43255144,0.8010745,3.656383,0.0,0.7724524340803625
1.6702555,0.43744904,0.7712313,0.3279937,0.057964426,0.6342766,4.099181,0.0,0.7602334180874135
1.682302,0.44060194,0.7052876,0.38106436,0.2894011,0.60652304,3.2215106,0.0,0.769582340364376
1.6484071,0.20748544,0.8970428,0.70999074,0.106570505,0.53184724,1.284717,0.0,0.746430812913569
1.6870799,0.2840935,0.7147293,0.0021352866,0.062074192,0.7966626,3.9582071,0.0,0.7656435048102087
1.6729345,0.46771768,0.77464426,0.1354118,0.008363029,0.8755685,1.8863677,0.0,0.7635381149446048
1.6417607,0.6417107,0.94351363,0.08867295,0.43335795,0.5329205,4.983593,0.0,0.7414080956843434
1.6581848,0.21682097,0.83413357,0.11747897,0.04581283,0.5106962,1.4143174,0.0,0.7538626341489865
1.6724082,0.64505005,0.7544533,0.95015067,0.09366291,0.71678406,1.2263051,0.0,0.7639866423999309
1.6810011,0.23717773,0.7150995,0.9723382,0.27151054,0.7742052,4.7397375,0.0,0.7690408825837065
1.6569222,0.5973091,0.8455333,0.20905665,0.28912535,0.78976476,1.1531845,0.0,0.7514294771909279
1.671843,0.60979337,0.7688927,0.6608612,0.2581265,0.7171641,4.7339106,0.0,0.7604038701927817
1.6627805,0.4864675,0.82742155,0.1836728,0.37956065,0.70960456,4.154883,0.0,0.7507402321913802
1.6618623,0.48505542,0.8121403,0.2988672,0.48781124,0.50393504,1.5006675,0.0,0.7554174013043601
1.6546991,0.4273338,0.95748645,0.8366586,0.12797882,0.9794887,1.87646,0.0,0.7495030963369277
1.6863207,0.39901087,0.69067675,0.21197525,0.2448024,0.62235963,4.2940516,0.0,0.7708035880194409
1.6744856,0.5617731,0.7416517,0.902123,0.11929592,0.597392,4.51374,0.0,0.7657318377489188
1.6699127,0.36334205,0.78253007,0.9023952,0.4539901,0.9042901,4.882698,0.0,0.7606944954681363
1.6895914,0.35825214,0.68034744,0.7482791,0.18387489,0.72418684,2.913811,0.0,0.771904637370829
1.6439657,0.3637003,0.95761406,0.09196346,0.45633328,0.6824249,4.124226,0.0,0.7379491912207541
1.6619632,0.24766162,0.8102874,0.21593083,0.28462654,0.528751,1.1236148,0.0,0.7568380997903666
