like1,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain,like_val
1.2864792,0.2255108,0.9475834,0.4966118,0.22507282,0.6432056,4.724395,0.0,1.4539794190881654
1.3632694,0.494576,0.6828744,0.5661215,0.010778893,0.58691347,3.2079337,0.0,1.5066681443646388
1.1684269,0.64410734,0.8951806,0.08133064,0.30498013,0.916897,1.2998823,0.0,1.2940772592832004
1.3151951,0.21950033,0.69792116,0.13086395,0.030503089,0.6887357,2.4565349,0.0,1.455437468640744
1.3829613,0.4746823,0.74392205,0.021966279,0.04568149,0.5134278,3.7963693,0.0,1.5190577940078707
1.4071838,0.2433814,0.8976203,0.30823687,0.0706889,0.5164098,1.6631962,0.0,1.5525848960949096
0.8020482,0.45830598,0.9646741,0.56998384,0.0809638,0.913873,2.7686186,0.0,0.8942445399330939
1.0287597,0.42488185,0.9630262,0.8712049,0.25909597,0.98089135,1.4511536,0.0,1.1399626332520012
1.372395,0.30239305,0.67760545,0.6917167,0.3242628,0.5164114,3.5330262,0.0,1.5195402225189512
0.7806756,0.2235172,0.8159187,0.38692778,0.37983885,0.9554511,2.1836438,0.0,0.814400804457531
1.0605257,0.42880863,0.8990655,0.32384774,0.16448246,0.83252716,2.716742,0.0,1.2119428985536107
1.2823426,0.5860903,0.93382406,0.5664405,0.4616742,0.6255729,4.6995273,0.0,1.4613619714765878
1.3845865,0.631218,0.75840056,0.5740306,0.29394773,0.6875705,1.2852677,0.0,1.52986071817406
1.3869584,0.37892935,0.6841004,0.37164202,0.21406704,0.8904384,1.0240988,0.0,1.5253865345028463
0.9041436,0.31818256,0.89816475,0.512771,0.08935089,0.88696647,2.3461838,0.0,1.0200709511011954
1.092645,0.34063885,0.7338096,0.84982777,0.35184437,0.96505404,1.3073515,0.0,1.2316826043023055
1.2870291,0.51633245,0.7471204,0.95707196,0.42608815,0.94669914,3.7303898,0.0,1.4267568887177722
1.2617854,0.23807375,0.8139712,0.11594528,0.10251893,0.67790174,3.79646,0.0,1.4255880742184697
1.3075818,0.30773908,0.7107927,0.64756405,0.4072109,0.68145263,2.1734934,0.0,1.4648433748921972
1.378466,0.45958218,0.9358982,0.9372076,0.1929148,0.56935644,4.7457213,0.0,1.5315856775898489
1.3397892,0.63944954,0.9671212,0.6499701,0.48246032,0.53947437,4.189685,0.0,1.5119884488437558
1.2745372,0.5832694,0.858257,0.019552095,0.49747312,0.6497714,2.37731,0.0,1.4570164049231735
0.7436394,0.25532976,0.78406626,0.06351316,0.34160602,0.8846517,3.152139,0.0,0.8933301623124243
1.3054322,0.25061586,0.70980865,0.1199216,0.14962204,0.64612174,3.636426,0.0,1.4497345327154014
1.2197974,0.33430925,0.89671814,0.18408102,0.041605826,0.882206,1.3966713,0.0,1.319223518665306
1.4012207,0.2681581,0.94489425,0.722858,0.17528893,0.6758462,1.249583,0.0,1.5560834098948695
1.3295329,0.3534089,0.93788755,0.6331417,0.45224488,0.5628232,4.986046,0.0,1.4983422004195721
1.3408496,0.4632455,0.7026687,0.8063329,0.1794051,0.64537895,3.227181,0.0,1.487082205963667
1.3242158,0.48969254,0.94378614,0.18557933,0.08540439,0.61299175,4.881777,0.0,1.4771378070854815
1.380706,0.5364586,0.96299016,0.024509467,0.39582518,0.5751976,1.5761757,0.0,1.5435845123306124
1.173816,0.43672106,0.6890484,0.37108555,0.100937575,0.7983468,2.590487,0.0,1.3407503151661606
1.3344076,0.47352487,0.9439618,0.9293293,0.10999329,0.67188567,4.485705,0.0,1.49473654220289
1.3729808,0.4295713,0.8549072,0.6560444,0.30398196,0.53706783,3.7970781,0.0,1.523384624296118
1.0174096,0.36180076,0.68291056,0.36353877,0.3000445,0.867815,2.3002536,0.0,1.1760491961184993
0.8175884,0.2165666,0.9386396,0.32260966,0.25924212,0.9732749,2.1137636,0.0,0.8160343749643272
1.3358812,0.36545554,0.77129483,0.18137914,0.24203894,0.7222751,1.729642,0.0,1.4799721512776969
0.7437615,0.35779187,0.8302259,0.61532086,0.37235722,0.9275373,3.2261477,0.0,0.8381773302143455
1.413212,0.62601554,0.87050354,0.35998163,0.18320628,0.5212414,1.1983846,0.0,1.5601616954867217
1.3267155,0.6493913,0.9268892,0.95877916,0.38290614,0.77465993,4.9824543,0.0,1.4893714247312386
1.4129163,0.41051325,0.76193595,0.021807801,0.12329138,0.6243668,1.0232193,0.0,1.549953739999255
0.838126,0.20204711,0.90419734,0.2481404,0.377431,0.9696105,1.8631296,0.0,0.8434141365210821
1.3012992,0.25492048,0.9452494,0.95168066,0.13169338,0.73363817,3.7098863,0.0,1.4663142050263822
1.2712075,0.6081963,0.724359,0.8264843,0.40227368,0.93551207,1.1281327,0.0,1.4184942339698015
1.2819883,0.5257165,0.7422039,0.33410636,0.49274388,0.6981271,1.5978013,0.0,1.4568506073013514
1.3910263,0.42493615,0.9577202,0.9927464,0.14181106,0.7999575,4.3552227,0.0,1.5436638972804453
1.3823814,0.5609779,0.8191244,0.40921876,0.20330267,0.8198575,1.105553,0.0,1.5288836843911267
1.237631,0.3586879,0.8076972,0.15777189,0.4952308,0.65449214,3.5501409,0.0,1.428499158831285
1.3732282,0.537499,0.8789502,0.7882465,0.22299753,0.56392056,3.6916456,0.0,1.5213243262594227
0.9611757,0.21846047,0.7893481,0.061225984,0.4775347,0.9360358,1.236256,0.0,1.120827568560317
0.84081453,0.6467163,0.95704365,0.53409123,0.37233418,0.89343405,4.2616396,0.0,0.9529325356465256
1.1461682,0.31185436,0.79004616,0.9029098,0.23220223,0.9461888,1.3656766,0.0,1.2842188571477289
1.3656876,0.6545219,0.88882077,0.8254257,0.3831963,0.7069028,1.3216611,0.0,1.5255037678366352
0.7420184,0.5828707,0.85138196,0.43092763,0.12119718,0.9394418,4.177384,1.0,0.8052609173709713
1.1697701,0.4097622,0.8819487,0.550389,0.19895966,0.7586021,3.5356345,2.0,1.3572154509480114
1.2399588,0.4471971,0.8509145,0.5724536,0.23922774,0.7291262,3.0796092,3.0,1.4125001966090118
1.3434011,0.38355252,0.7674837,0.22865231,0.21809193,0.78345925,1.3635498,4.0,1.489064455338953
0.8904573,0.4572027,0.79423547,0.6649376,0.36057094,0.90424925,3.2538269,5.0,1.0073138067550562
0.7684607,0.24365596,0.94639474,0.35610518,0.30130008,0.9378397,3.4744747,6.0,0.7419002375638202
0.7409412,0.22467133,0.81473243,0.648553,0.26982778,0.90113366,4.6879296,7.0,0.8387817104659574
1.0314785,0.36872813,0.8525042,0.44313803,0.26717287,0.82892793,3.1099668,8.0,1.195331623807108
1.2702378,0.44969735,0.94944084,0.63636655,0.04641875,0.69376975,3.7441967,9.0,1.4406355672158306
0.8521969,0.32838383,0.87068176,0.26793334,0.16333836,0.8875784,2.3869872,10.0,0.9683539307004508
0.8391022,0.33881176,0.84763587,0.37392387,0.27315345,0.8716874,3.1479142,11.0,0.9801267894168556
1.1783882,0.49168658,0.8674427,0.23729223,0.35423478,0.7610996,2.8707204,12.0,1.3690032864686477
1.0031182,0.3861808,0.86806285,0.50372624,0.22359549,0.83279526,3.528527,13.0,1.1563247121735976
0.80517066,0.32153267,0.8661999,0.7088072,0.481128,0.89479834,3.6861444,1.0,0.9325452734450468
1.3135818,0.30076647,0.70339006,0.09354302,0.485017,0.561461,4.0798955,2.0,1.4762559384331735
1.2259092,0.3368319,0.74496865,0.30364275,0.4403174,0.69647706,3.3504615,3.0,1.4091704000781664
1.1997533,0.420323,0.86945194,0.30725268,0.24803737,0.72769296,3.7762165,4.0,1.3824146066159966
1.1132066,0.28693646,0.87939775,0.72554773,0.25404617,0.80518925,3.1875677,5.0,1.2946219866574473
1.2140576,0.385501,0.9262912,0.912855,0.16722776,0.79629844,4.1121964,6.0,1.3843392297364023
0.756294,0.51274973,0.8563971,0.44114813,0.027938478,0.9789989,2.7997472,7.0,0.8081094618641199
1.0449437,0.38039973,0.8530033,0.41216826,0.27509746,0.81750894,3.310024,8.0,1.228103686754395
1.1853416,0.44630355,0.79639196,0.47599664,0.3916232,0.7740052,2.4957561,9.0,1.3729813852441184
1.3647766,0.21308945,0.77163404,0.021823468,0.32350343,0.5434647,3.6328547,10.0,1.5102093255153228
1.0796951,0.34777257,0.79277253,0.43451497,0.3770487,0.80583346,2.9616144,11.0,1.2806491028465452
1.0253978,0.37734675,0.8700578,0.69341934,0.21730863,0.8443265,3.2339804,12.0,1.1921471575038838
0.98361295,0.3200716,0.8663531,0.62455314,0.28145742,0.85435337,3.0746808,13.0,1.126827732369374
0.9187938,0.25445685,0.89406097,0.33370456,0.10495542,0.8778086,2.278105,1.0,1.0295993279954236
1.1912578,0.32311928,0.803058,0.29398698,0.2148458,0.74064916,3.3740904,2.0,1.3717178781640633
1.3535231,0.33711094,0.84619856,0.32358935,0.13074137,0.5680371,4.7935038,3.0,1.4994619778100813
1.3133777,0.47434086,0.92857707,0.23853585,0.32419798,0.687287,2.443169,4.0,1.4726202947399003
1.1755406,0.44690365,0.90831256,0.32770512,0.29843652,0.79073775,2.4589608,5.0,1.3590867788232077
0.77389324,0.52514774,0.9404357,0.13746119,0.17603919,0.95927864,2.4489822,6.0,0.7804874428918823
0.70810944,0.40987477,0.7986898,0.20403978,0.47569042,0.9517647,2.7688973,7.0,0.7760409826942181
1.2646159,0.3484006,0.76622915,0.48522937,0.30557033,0.68974566,3.3359892,8.0,1.4310767116644298
1.1956453,0.633007,0.84192747,0.57445997,0.06742377,0.78194636,3.2796037,9.0,1.3642485802347022
1.085713,0.38124985,0.83054584,0.4482338,0.3001147,0.8130919,2.9506965,10.0,1.2743083232342103
0.75783944,0.2263552,0.8733727,0.77932227,0.34939095,0.9344069,4.055122,11.0,0.8288745689269639
1.0292244,0.32994312,0.83094764,0.33780095,0.2562587,0.82797474,3.0774992,12.0,1.1842902748582158
1.3326925,0.21853775,0.71562684,0.5599401,0.22486533,0.63064164,3.27714,13.0,1.473264939166505
1.2431197,0.38986725,0.87611914,0.5875489,0.32989073,0.7021348,3.636661,1.0,1.420849750713572
1.2234919,0.26942012,0.70624715,0.107378855,0.32218742,0.7319795,2.8826282,2.0,1.3953849491942192
0.8341216,0.38176438,0.9612834,0.15218394,0.0034297218,0.85026747,4.125539,3.0,0.9750468241609922
0.9676607,0.2680315,0.8858439,0.5028496,0.0028871761,0.82259583,4.819364,4.0,1.109569152869807
1.2626905,0.6177502,0.76855606,0.79077274,0.3383354,0.8180851,1.9835014,5.0,1.4154987133524233
1.1481451,0.30564237,0.74714446,0.93905616,0.37535867,0.91563445,3.7879977,6.0,1.298704654176848
0.7709594,0.36194944,0.9163762,0.45359668,0.13638218,0.8731564,4.6347613,7.0,0.9048158313402388
0.98280686,0.3162903,0.9258497,0.74007505,0.45309058,0.8350325,3.9082398,8.0,1.1468852317831457
0.9167069,0.42707145,0.710458,0.23932096,0.0044534304,0.85034454,4.5187764,9.0,1.0550982587889295
1.3556434,0.22346248,0.6833877,0.079734,0.11734828,0.57197666,3.8180943,10.0,1.4931996153933222
1.0455818,0.40713564,0.80830866,0.41491428,0.12777708,0.8318253,3.003584,11.0,1.2189212409378611
1.0025599,0.2090223,0.76193756,0.34991163,0.098289505,0.8953156,1.7651218,12.0,1.1166250622109124
1.2866254,0.5217456,0.9128522,0.048947714,0.02189637,0.7019962,2.8728094,13.0,1.4438398126521137
1.3323041,0.4581673,0.86764103,0.009633493,0.016453417,0.61781424,3.9809422,1.0,1.4756850822255063
1.1709679,0.48439392,0.8137648,0.18673116,0.030471584,0.75744957,3.4088664,2.0,1.3539285885452703
1.2651243,0.42728984,0.7733021,0.11121077,0.3491555,0.6474178,4.745459,3.0,1.436424367051621
