like1,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain,like_val
0.50964725,0.4812351,0.9242206,0.11640934,0.32842427,0.95341396,1.7432138,0.0,0.5619831789954622
0.5267359,0.37132233,0.84848976,0.15552646,0.18603985,0.9121518,1.7857262,0.0,0.5841908494381433
0.48214537,0.45426184,0.8064758,0.64691174,0.08457262,0.81669414,1.5357671,0.0,0.5963961687721139
0.50943774,0.23579784,0.79226947,0.56602055,0.29753897,0.7309697,1.1552573,0.0,0.610899792889509
0.4571639,0.3217,0.9098486,0.6423781,0.267842,0.9163513,3.427461,0.0,0.5669316989465635
0.46902877,0.60582703,0.75232023,0.13862278,0.14123169,0.8044128,3.538825,0.0,0.5834289022978947
0.49746284,0.31108406,0.6857294,0.1729961,0.14196566,0.8112859,3.8347728,0.0,0.586444687292518
0.4725166,0.51794285,0.75961304,0.31735602,0.115185976,0.7852291,4.439399,0.0,0.5812913202209842
0.48499572,0.4861479,0.81728405,0.9641054,0.13895532,0.87708807,1.7850082,0.0,0.5976756115965122
0.48360306,0.2796016,0.6913042,0.48087144,0.19411398,0.7103533,4.0521426,0.0,0.5921380178196227
0.5046666,0.5551449,0.7269408,0.45810738,0.34749237,0.56020224,4.0856323,0.0,0.6041728609952566
0.48332617,0.59120184,0.84377795,0.29413822,0.29947105,0.6898736,4.7920437,0.0,0.6017747843699541
0.48215103,0.51045555,0.7304711,0.50046736,0.13345788,0.7432677,3.0328157,0.0,0.5893932126348977
0.48614725,0.5947932,0.8594943,0.0026386592,0.15899597,0.7400695,2.9550498,0.0,0.5951372364991189
0.41404077,0.4225236,0.7425489,0.8056237,0.3428898,0.93794215,4.270435,0.0,0.5430140760072509
0.51341414,0.28234154,0.9441982,0.9933834,0.072799645,0.9512743,4.287387,0.0,0.6260819078737382
0.47867867,0.24422577,0.7242949,0.38687953,0.49625063,0.78221875,1.6615304,0.0,0.5860912254372592
0.48888505,0.3804061,0.7789005,0.80943453,0.29056078,0.72514194,2.635787,0.0,0.5997383632745305
0.4975861,0.619869,0.76056707,0.7367612,0.41615817,0.59125394,4.9553366,0.0,0.6068620554328351
0.51684666,0.47933006,0.70282644,0.31739226,0.3185394,0.5885873,1.1727772,0.0,0.6095818568386815
0.47217625,0.24511844,0.94151944,0.6136996,0.21153277,0.8469686,1.8943837,0.0,0.588502045122006
0.49986675,0.39140588,0.80715567,0.17550689,0.37215692,0.5938082,3.2632282,0.0,0.6100137741669459
0.50088733,0.2054003,0.93052095,0.20217912,0.038288865,0.76715374,1.3578832,0.0,0.6060600115577728
0.46892473,0.63418466,0.69795424,0.7556335,0.12890579,0.9415857,2.169109,0.0,0.5814221618865597
