like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.88068825,1.0759581,0.39888662,0.92478836,0.33012053,0.2656857,0.11076345,3.4021742,1.0
0.6920891,0.72650295,0.66935694,0.6265705,0.1656551,0.5678164,0.36993712,2.2336452,1.0
0.9491474,2.5360322,0.453342,0.29021236,0.5515624,0.7292238,0.8587455,2.8811972,1.0
0.6468593,1.1910827,0.8494217,0.99642473,0.5896531,0.3268417,0.27709636,2.8944929,1.0
0.9928925,1.2810452,0.36796892,0.57076293,0.835001,0.114013545,0.5373222,3.9562504,1.0
1.7091584,0.8669042,0.21251164,0.6588381,0.7372011,0.4537597,0.4373863,1.3196295,1.0
0.6713342,0.91767985,0.8235074,0.9002953,0.11941105,0.43744135,0.65423834,2.3727853,1.0
0.73473775,0.7204886,0.7555152,0.12308239,0.63911915,0.66295344,0.2586143,2.533331,1.0
0.6537657,0.82284105,0.74684596,0.4590732,0.83018297,0.9810701,0.055710882,2.3580837,1.0
0.7628577,0.63341945,0.75345296,0.23454182,0.7137097,0.5954519,0.61715764,3.443934,1.0
0.80772924,0.8429052,0.48481497,0.11887925,0.3622382,0.98456657,0.09949175,2.0224345,1.0
1.7865702,0.85044384,0.20190708,0.61766636,0.11311414,0.91601014,0.23520155,3.1512885,1.0
0.72163385,0.8430348,0.8162702,0.28300607,0.4352328,0.62263507,0.09674012,2.8507392,1.0
0.92424345,1.0814736,0.38647586,0.989398,0.32704768,0.5794717,0.032228902,4.579962,1.0
1.517793,0.7254822,0.24490951,0.41860142,0.10204687,0.85795575,0.7631835,2.5557787,1.0
0.9197858,1.0870705,0.38736778,0.8576851,0.8219071,0.2938194,0.10289718,3.998669,1.0
0.9578087,2.2905796,0.500909,0.20876762,0.26488182,0.8855231,0.57817405,2.3966265,1.0
1.6557326,0.8061019,0.22246341,0.09920306,0.57660055,0.42126402,0.4430474,2.8964965,1.0
0.6737785,1.0272108,0.48952687,0.75381166,0.8471321,0.36347637,0.09359214,1.6026627,1.0
0.68645185,1.0153297,0.952749,0.84473675,0.3668684,0.6243843,0.40147883,1.3771691,1.0
0.6508923,1.2327478,0.91054547,0.2420383,0.90314037,0.11312211,0.6863023,4.4786234,1.0
0.9930017,1.712565,0.38217694,0.42344669,0.8947865,0.895985,0.5939279,2.6220279,1.0
0.6779679,1.0759317,0.48574755,0.78894526,0.72279495,0.22517796,0.026777687,4.8651004,1.0
0.65628636,0.9020522,0.51286405,0.22684012,0.8645955,0.44523653,0.15850355,2.624615,1.0
0.97031397,0.8245451,0.7957391,0.90782,0.3740569,0.7789318,0.6250122,1.3683878,1.0
1.1049995,1.0794648,0.89714956,0.5001241,0.09889735,0.7901153,0.4624422,2.8306262,1.0
0.6463573,1.2074531,0.8442102,0.33513764,0.25459358,0.16617858,0.5261558,3.5006716,1.0
0.6463233,1.1455024,0.80011225,0.34898788,0.21746889,0.37440917,0.039900962,1.6104559,1.0
1.4701886,0.72074366,0.25768983,0.80452657,0.3208525,0.7681158,0.21014409,4.1730814,1.0
1.4336084,0.9326503,0.26707998,0.525589,0.8865683,0.67352873,0.19398342,4.202592,1.0
0.63610065,1.1219741,0.53804624,0.7010318,0.874852,0.19112565,0.39462933,3.076663,1.0
0.63319045,1.1540871,0.54817784,0.747121,0.2790775,0.1692825,0.3692991,3.632439,1.0
0.65567046,0.8098159,0.61362565,0.04713567,0.22685404,0.41183236,0.48665142,3.426819,1.0
0.7511624,1.107995,0.44526193,0.091083065,0.23411566,0.1880728,0.6285572,4.526306,1.0
1.3450587,0.7077836,0.28421396,0.2320559,0.5184583,0.4538006,0.53537136,2.9416828,1.0
1.2165997,1.6152544,0.9767104,0.90458685,0.5349668,0.86971736,0.9561605,2.239239,1.0
1.1230991,3.2305899,0.6095038,0.0033848416,0.042430293,0.73659503,0.79327273,4.396964,1.0
0.68424493,0.99413455,0.48071823,0.9712641,0.35451117,0.3109236,0.5149681,4.8390813,1.0
