like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
1.7151777,0.87205863,0.58574945,0.13039939,0.4835469,0.6976753,0.3613508,3.4761481,1.0
1.738845,1.0251385,0.50085074,0.5426306,0.9003322,0.8645466,0.06113672,3.445655,1.0
1.7101183,0.41624543,0.74884343,0.8555313,0.6005818,0.7665909,0.99128366,2.8921237,1.0
1.8663164,1.0827787,0.21519898,0.92406416,0.7431122,0.87535095,0.13438062,4.2219844,1.0
1.6452159,1.4623328,0.9192883,0.62140685,0.97228056,0.2710506,0.5173525,1.8186253,1.0
1.7344395,1.0541569,0.51225495,0.43679994,0.7573011,0.5304086,0.8517274,1.7591134,1.0
1.8053467,0.82397336,0.33993497,0.30705023,0.75159925,0.6484924,0.88072044,2.33265,1.0
1.6865393,1.2602813,0.6869769,0.16817358,0.9649863,0.23779967,0.15008125,4.445832,1.0
1.6531749,1.3035039,0.8673297,0.90227795,0.29559532,0.50784004,0.81194293,4.003372,1.0
1.8741534,1.147287,0.2004518,0.4930827,0.54139954,0.32274765,0.6448179,4.0544224,1.0
1.7869849,0.7652263,0.41958898,0.7075104,0.9684405,0.90882015,0.9154123,2.0403066,1.0
1.7661858,0.6591688,0.48663715,0.70920545,0.5466111,0.9524038,0.29969227,2.4044054,1.0
1.7431513,0.490456,0.5443061,0.0011648682,0.6871966,0.75299674,0.7768363,4.4631796,1.0
1.8719424,0.6642087,0.96601385,0.13735203,0.25248855,0.8961766,0.88293356,3.0964215,1.0
1.7578311,0.41035765,0.6889924,0.010264519,0.24350367,0.85222703,0.5113052,2.3347695,1.0
1.8129271,1.1278176,0.31623778,0.5818181,0.12048764,0.53001153,0.48799556,2.86033,1.0
1.7337849,1.1969336,0.5137799,0.2504039,0.1500948,0.45823964,0.12984596,3.9893258,1.0
1.8416462,1.3061098,0.26073328,0.25942132,0.71716106,0.16953142,0.074945636,3.359761,1.0
1.7308677,1.1503451,0.5220673,0.28991768,0.8403841,0.38858837,0.86586744,3.7496562,1.0
1.8721533,1.3402847,0.20505764,0.94549876,0.17451026,0.18395583,0.3834755,2.9523501,1.0
1.711529,1.1065745,0.5883841,0.21875449,0.37037978,0.67264473,0.028224533,2.647665,1.0
1.8676555,1.0753683,0.21271266,0.39145052,0.8893837,0.84844977,0.6082681,2.7748427,1.0
1.8539779,0.9927192,0.23813635,0.047744863,0.27714708,0.76735866,0.86410415,2.041688,1.0
1.6809797,0.36289227,0.8295469,0.26656908,0.7372518,0.72841144,0.8025064,2.6548755,1.0
1.6783886,1.2557809,0.72349805,0.38478553,0.8437698,0.36218998,0.5173387,1.3435256,1.0
1.7664003,1.1506329,0.42330545,0.74217165,0.73875165,0.47185868,0.306025,3.6881752,1.0
1.7515919,1.1996014,0.46310067,0.23817553,0.69814473,0.30164135,0.16430634,2.3890617,1.0
1.7771655,1.063678,0.39740193,0.20847131,0.011310522,0.55204237,0.7036824,1.2471784,1.0
1.7945607,1.3067178,0.3574894,0.7728454,0.28567025,0.109067336,0.44653848,2.2551334,1.0
1.7588505,1.1901888,0.4432473,0.123006575,0.3842006,0.2806402,0.7031257,2.3586617,1.0
1.7340068,0.7164848,0.53675616,0.82762516,0.37639555,0.7423088,0.52991945,2.752435,1.0
1.8700209,1.0799181,0.24858204,0.21291466,0.646419,0.9732475,0.9526761,3.2466588,1.0
1.752645,0.37340015,0.7706924,0.8912241,0.85621744,0.8544398,0.9529619,4.324671,1.0
1.8385698,0.68802136,0.82368624,0.05758685,0.677886,0.93373317,0.75230455,3.8841238,1.0
1.7353944,1.1893079,0.5092396,0.026083745,0.25409243,0.3068638,0.3017487,2.3015993,1.0
1.6947981,1.2530328,0.6510202,0.83442014,0.14980286,0.15564252,0.7078899,2.8750744,1.0
1.6512091,1.4212027,0.8780123,0.44338784,0.47754747,0.21663176,0.8798715,2.136603,1.0
1.8011078,0.61534935,0.7684646,0.13752875,0.88150686,0.9858819,0.25025094,2.1171398,1.0
1.6571946,1.3765908,0.8408403,0.6001968,0.21017203,0.29709783,0.3426178,3.947578,1.0
1.6609929,0.9237978,0.88605976,0.6839849,0.38421583,0.6521288,0.9421494,3.0359926,1.0
1.644776,1.4682784,0.92153466,0.010887477,0.7964556,0.2604906,0.34546947,4.325799,1.0
1.6840824,1.1638428,0.69777864,0.8375796,0.9388054,0.68716526,0.0378891,2.0076928,1.0
1.8529469,1.0356066,0.24215144,0.48065463,0.58873916,0.95806354,0.14731605,4.386105,1.0
1.7330832,1.1775976,0.5155758,0.5070939,0.03503567,0.41585505,0.23279613,3.3280907,1.0
1.7982069,1.2178856,0.3493563,0.15927003,0.89022875,0.32060105,0.44213498,2.7244506,1.0
1.6647416,1.2561312,0.79247046,0.9479156,0.73080456,0.45714614,0.81880087,2.464895,1.0
1.8470087,1.0990025,0.2489413,0.05923739,0.8750658,0.86594546,0.070385054,1.2164457,1.0
1.8085307,1.0397639,0.32840008,0.7330653,0.67764527,0.582093,0.830743,2.7850409,1.0
1.6363916,1.5408238,0.98359007,0.55705607,0.40058598,0.38438138,0.18760765,2.2405558,1.0
1.7807996,1.224204,0.38910758,0.7607313,0.25479865,0.18808858,0.14920114,3.2099562,1.0
1.7382745,1.1151339,0.49851233,0.55020994,0.27424806,0.42439467,0.95812976,2.3998792,1.0
1.6991678,1.1908771,0.6325973,0.88930416,0.05488127,0.4141792,0.31983382,1.9287751,1.0
1.667585,1.2677062,0.77799636,0.12950763,0.48678318,0.50247175,0.2456358,1.5275894,1.0
1.6461258,1.4133679,0.91092205,0.4306022,0.30921853,0.45206952,0.4109411,2.7953053,1.0
1.683152,1.1224575,0.7107283,0.4085413,0.5631821,0.57045686,0.7914124,1.7132427,1.0
1.6711257,1.2990247,0.7611607,0.7463227,0.0739269,0.31041053,0.40297878,3.8986876,1.0
1.6456422,1.4079002,0.9140362,0.22037584,0.52034396,0.5078501,0.2163421,2.6823263,1.0
1.7347996,0.1842256,0.89884984,0.21376306,0.93318206,0.8622569,0.47077194,3.0560005,1.0
1.7972027,1.0105399,0.35389486,0.4381838,0.18242104,0.59024274,0.840137,1.2217323,1.0
1.7602453,1.0469162,0.4408217,0.1421096,0.0036189072,0.5708397,0.6032953,4.001033,1.0
1.6651077,1.3117955,0.79397774,0.5275623,0.5851781,0.4228893,0.10017807,1.2834651,1.0
1.6869148,1.2146748,0.6833095,0.46641666,0.6712647,0.3652414,0.9216042,4.460212,1.0
