like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.96747947,0.75704706,0.17283522,0.27119282,0.43124488,0.26329702,3.44253180,0.00000000,0.91203476
1.05659010,0.40892613,0.21025231,0.85116160,0.86979520,0.33567992,1.59710570,0.00000000,0.84019738
0.91914064,0.86648697,0.01249414,0.06765890,0.95054310,0.91702540,2.82908230,0.00000000,0.76350230
0.98289174,0.96172470,0.58456993,0.09475862,0.38395494,0.19235541,3.84396500,0.00000000,1.06514079
0.91820717,0.25646627,0.45804283,0.86870295,0.18657804,0.95734704,1.31060780,0.00000000,0.91291334
0.98350570,0.93853104,0.13304117,0.72802734,0.38968873,0.68316160,1.78042900,0.00000000,0.91551783
0.99181320,0.30077282,0.88612520,0.65054786,0.88828030,0.72877460,3.22947930,0.00000000,0.81401985
0.94429165,0.47508898,0.54657540,0.58961844,0.42989364,0.15434615,2.32051940,0.00000000,0.91245668
0.91922760,0.26888636,0.76865894,0.97530810,0.29888573,0.55122477,1.43308150,0.00000000,0.91278968
0.93244640,0.57226384,0.49201290,0.91682696,0.79905957,0.01198186,2.50911700,0.00000000,0.88410144
0.91022990,0.24202575,0.85971570,0.03326038,0.50343007,0.97260330,2.37129760,0.00000000,0.91456583
0.91222510,0.27217555,0.93790050,0.21129335,0.57085454,0.65018374,2.42784760,0.00000000,0.91036434
0.92376050,0.30153250,0.61192650,0.27313277,0.14550580,0.20479360,1.69414440,0.00000000,0.91293914
1.17011710,0.97517180,0.93840740,0.79675484,0.93565610,0.64494470,2.17208400,0.00000000,1.05333018
0.93107740,0.41218305,0.77790070,0.95280930,0.61997940,0.59672610,3.84504960,0.00000000,0.91009439
0.97550010,0.88143780,0.61325530,0.34533970,0.33058333,0.66997623,2.84536150,0.00000000,1.03422103
0.93060930,0.41712248,0.10648792,0.15974258,0.14067648,0.07171234,3.91381720,0.00000000,0.91295158
0.93260604,0.42973366,0.73148024,0.39167094,0.67314930,0.70067560,2.69593240,0.00000000,0.89294775
0.97974210,0.95570360,0.45163944,0.50630367,0.54515790,0.30703664,2.51388860,0.00000000,1.02988793
0.97353970,0.81057990,0.08736761,0.19355427,0.39932105,0.44621485,4.40259650,0.00000000,0.91213301
0.94746190,0.57706160,0.96705675,0.17328079,0.11956103,0.61082340,4.96859500,0.00000000,0.91536791
0.95792820,0.79812650,0.89743066,0.74828460,0.66484106,0.51642930,2.76086470,0.00000000,1.00495649
0.97431980,0.47263490,0.41835868,0.88628780,0.77630700,0.53538734,1.53080130,0.00000000,0.86964463
0.94142560,0.53345600,0.04410037,0.28654292,0.52558900,0.97372550,1.43194580,0.00000000,0.91211887
0.96407680,0.73694820,0.39256110,0.71652603,0.20434828,0.60087120,4.33846700,0.00000000,0.91291648
1.02685830,0.70681050,0.27147510,0.60384774,0.94319770,0.56062320,3.27151100,0.00000000,0.92126557
0.97677500,0.94429920,0.61608810,0.33345760,0.51410560,0.65962760,3.34591000,0.00000000,1.04048047
0.93182176,0.42699525,0.39293420,0.87114590,0.30786344,0.01624178,2.55817910,0.00000000,0.91289771
1.04960500,0.59406530,0.00999819,0.79264660,0.84343820,0.34183520,4.51617150,0.00000000,0.82035455
0.91849920,0.37535328,0.19072086,0.80495423,0.58512366,0.90628505,4.13145880,0.00000000,0.90638299
0.94587356,0.84143794,0.49742034,0.08946403,0.82803580,0.11632761,2.82352400,0.00000000,0.87287082
0.91606843,0.21922076,0.30900538,0.32825497,0.48430783,0.15363325,3.80922440,0.00000000,0.91148783
0.98798450,0.71562790,0.34012980,0.15340051,0.92912453,0.90436610,3.52061630,0.00000000,0.84333334
0.93356250,0.45230177,0.10496281,0.66619020,0.73544210,0.59473620,1.04825210,0.00000000,0.89020850
0.94901180,0.50767684,0.63141330,0.35253105,0.23244329,0.07464386,3.45761700,0.00000000,0.91293624
0.97710740,0.93671614,0.96845340,0.05282431,0.30253920,0.78272104,2.46360350,0.00000000,1.06331047
0.89712090,0.22554955,0.41860950,0.85567105,0.75069016,0.20779818,4.12271830,0.00000000,0.90297441
0.94450855,0.26010360,0.05458095,0.85917413,0.89192240,0.29843940,3.14514020,0.00000000,0.80202846
0.93477046,0.33747730,0.46963096,0.76402783,0.97380310,0.07836418,4.39130400,0.00000000,0.79599759
1.15943850,0.67380440,0.27423596,0.38631650,0.77168065,0.74241430,4.31671860,0.00000000,0.87704721
1.07211240,0.35492504,0.36888254,0.15212184,0.85010090,0.49727297,4.85871900,0.00000000,0.80893141
0.97032505,0.70459217,0.21538490,0.93719286,0.12591667,0.53323096,4.70528300,0.00000000,0.91295337
0.94485915,0.54412377,0.94695710,0.62163764,0.19809400,0.13445508,2.43857170,0.00000000,0.91295429
0.91408570,0.30559847,0.49492747,0.75866103,0.69564533,0.04558805,2.90031800,0.00000000,0.90070266
0.97624964,0.95375610,0.84125690,0.28387123,0.22807814,0.66537520,1.85562000,0.00000000,1.05321231
0.91467030,0.37594092,0.22099216,0.64153206,0.79852057,0.36189872,3.04359670,0.00000000,0.85061438
0.93063830,0.38290360,0.99268370,0.79632030,0.43802497,0.98587420,2.19250350,0.00000000,0.91278649
0.92592555,0.23128381,0.95470107,0.70444440,0.86932550,0.33803478,4.45110200,0.00000000,0.81506230
0.97233960,0.83658600,0.09637621,0.51939980,0.46117482,0.46791828,3.37620200,0.00000000,0.91139736
1.08745630,0.68805010,0.84092784,0.89336500,0.98116160,0.52171900,2.49977760,0.00000000,0.91380229
0.91718197,0.24955185,0.69830656,0.55227010,0.36251820,0.44811782,2.34546920,0.00000000,0.91267542
1.08121860,0.62370974,0.55121510,0.61885780,0.82762194,0.40987850,2.63293840,0.00000000,0.86410045
0.97244334,0.91506580,0.88388600,0.94191460,0.23482989,0.49091402,1.25224790,0.00000000,1.04149930
0.92145700,0.28621290,0.65754200,0.82431860,0.41418982,0.16751058,1.68442800,0.00000000,0.91272974
0.92640130,0.20498703,0.42029124,0.72907870,0.28468278,0.69584870,4.72184600,0.00000000,0.91276067
0.98452085,0.90794843,0.29712610,0.24989320,0.22922984,0.12187735,1.95715760,0.00000000,0.92208723
0.92362183,0.20350218,0.13380754,0.96392980,0.36154312,0.42637894,1.85598350,0.00000000,0.91276364
0.97109180,0.80934495,0.29359603,0.43116820,0.44073766,0.78711915,3.05022260,0.00000000,0.91119544
1.12009740,0.74861590,0.70581160,0.16676858,0.82119090,0.43594605,1.94270650,0.00000000,0.89992215
0.97406730,0.91271810,0.85251930,0.09069205,0.61831480,0.88497895,1.99488930,0.00000000,1.03895903
0.97302850,0.88645345,0.10486062,0.20044029,0.59091700,0.16335878,4.00309400,0.00000000,0.90879323
1.19718110,0.50640273,0.90894425,0.14652373,0.90168430,0.48391190,4.79558230,0.00000000,0.84102104
0.94235337,0.58838150,0.37670833,0.46473423,0.69002426,0.21121985,2.24970340,0.00000000,0.90031965
0.95618254,0.66592085,0.98165140,0.01970440,0.19731170,0.08727552,1.16220520,0.00000000,0.97908843
1.00974580,0.90196510,0.07222770,0.70869696,0.93000704,0.61283046,3.63938300,0.00000000,0.94875860
0.94395626,0.56334600,0.37034980,0.91823210,0.58747940,0.84378266,2.39452400,0.00000000,0.90766166
0.92419225,0.30676487,0.41980028,0.60309017,0.24466282,0.61552113,1.74789630,0.00000000,0.91287852
1.18739990,0.83902246,0.67214096,0.53251106,0.90612530,0.55424064,2.62514110,0.00000000,1.06670216
0.90677670,0.89006370,0.06496979,0.90124160,0.97245800,0.92038650,1.10340670,0.00000000,0.70817180
1.26072690,0.57563160,0.49958720,0.74511090,0.86827326,0.37763710,2.67721180,0.00000000,0.79216900
0.92917220,0.37812728,0.10731403,0.41524997,0.15045102,0.39955047,3.83284040,0.00000000,0.91293282
0.96619970,0.77645570,0.14069165,0.50337285,0.54149750,0.30574873,3.03957580,0.00000000,0.90994437
0.92499244,0.36613193,0.39198560,0.51474460,0.49255422,0.38094464,1.63084570,0.00000000,0.91145727
0.93977016,0.50750196,0.19682483,0.36395144,0.10333591,0.50077850,1.60777310,0.00000000,0.91295475
1.19179340,0.54377680,0.03909162,0.85218720,0.91015387,0.39913353,1.25635140,0.00000000,0.85956631
0.93749240,0.43256298,0.80434620,0.09916305,0.21597388,0.16766533,1.24437270,0.00000000,0.91294433
0.90104880,0.27507937,0.15945876,0.24836652,0.68443130,0.40704566,2.66037300,0.00000000,0.89496767
1.06447270,0.98507860,0.24711211,0.71797705,0.83223130,0.32070017,4.70216700,0.00000000,0.87749250
