like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.58338046,0.71323890,0.56342630,0.29643273,0.15999565,0.58786360,2.02827290,0.00000000,0.81097228
0.58484620,0.65858690,0.58979660,0.14774530,0.12739676,0.03642217,1.65110480,0.00000000,0.80932059
0.70899385,0.32123953,0.97584890,0.74594307,0.86824970,0.52837306,3.01106570,0.00000000,0.81536486
0.75382245,0.25737570,0.70917320,0.92636110,0.44523504,0.07705056,3.64448600,0.00000000,0.82097434
0.60167116,0.59388435,0.01434329,0.49958676,0.28928720,0.61482080,1.12996900,0.00000000,0.81126736
0.64771640,0.84057360,0.51211280,0.77759886,0.90222530,0.62332296,3.06267670,0.00000000,0.92918782
0.58476910,0.79729510,0.85766750,0.88496620,0.32918980,0.03623779,1.33530410,0.00000000,0.82118272
0.63623637,0.54405534,0.26323414,0.97723067,0.88595676,0.24752383,1.81007360,0.00000000,0.90424262
0.58341790,0.68532395,0.91334800,0.82997674,0.43791124,0.06819661,4.54005530,0.00000000,0.80876005
0.61230140,0.55156170,0.10669617,0.30003300,0.28860820,0.56637037,2.39487240,0.00000000,0.81313078
0.62978554,0.48297796,0.68173260,0.41385117,0.30241410,0.21586987,1.64678820,0.00000000,0.81144504
0.59134630,0.85476947,0.00132797,0.18756357,0.26848236,0.55637944,2.01077960,0.00000000,0.82565000
0.58884200,0.64062446,0.08431128,0.07450503,0.13533518,0.99005604,4.66640200,0.00000000,0.80597575
0.58731840,0.88221633,0.01342289,0.31155625,0.19383307,0.45507663,1.15650170,0.00000000,0.82196006
0.61874130,0.51290420,0.53927670,0.71834280,0.36845747,0.01841143,2.06475200,0.00000000,0.81344470
0.59265316,0.64269215,0.66687840,0.29403344,0.24078518,0.74219610,3.37179660,0.00000000,0.80943604
0.86588320,0.23711981,0.33866638,0.44147506,0.93105640,0.73414970,4.83381130,0.00000000,0.93050091
0.67351294,0.38289845,0.68849250,0.31736370,0.81525683,0.08684284,1.34411990,0.00000000,0.80644248
0.59007996,0.65469010,0.27435154,0.13462967,0.18200554,0.97504050,2.85593650,0.00000000,0.80758563
0.63379633,0.47286525,0.36124460,0.73642844,0.24688084,0.35255414,3.33465390,0.00000000,0.81081423
0.78960620,0.20926921,0.40410390,0.83375440,0.12593158,0.14493464,1.88532360,0.00000000,0.83602703
0.58635590,0.65412480,0.98331450,0.28013630,0.25186387,0.30328366,1.05821040,0.00000000,0.80736753
0.70754970,0.33298862,0.25621656,0.00898736,0.66978484,0.85045840,3.61886980,0.00000000,0.84254462
0.67209107,0.39688703,0.85366280,0.07068838,0.23256887,0.95942020,1.93766470,0.00000000,0.81286060
0.61845684,0.81318310,0.32606640,0.09213739,0.72177523,0.08783367,3.54611000,0.00000000,0.90633197
0.60934913,0.60780850,0.29916933,0.12253246,0.77977014,0.98657703,2.08690050,0.00000000,0.89258916
0.58514950,0.66794175,0.62031984,0.31638620,0.19024613,0.31995082,2.09720830,0.00000000,0.80870875
0.62702835,0.48857700,0.75869460,0.02132906,0.19874777,0.51844710,2.05515580,0.00000000,0.81011979
0.63929550,0.51090770,0.89056724,0.73058090,0.48206383,0.93091780,2.81666040,0.00000000,0.85386519
0.69548000,0.34822088,0.62744504,0.45604494,0.22548983,0.52002880,1.55885490,0.00000000,0.81225666
0.70673300,0.34103793,0.84763750,0.21002422,0.39361623,0.98485940,3.44450550,0.00000000,0.83037536
