like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.46908653,0.36045426,0.75856906,0.69373757,0.40160516,0.93638253,2.39050870,0.00000000,0.44741839
0.54390810,0.36874860,0.77157210,0.93766410,0.88450390,0.40974545,1.88139670,0.00000000,0.55844858
0.60135690,0.44528913,0.21412780,0.29260110,0.96933870,0.56097740,3.90115800,0.00000000,0.54410782
0.43005183,0.66692660,0.92317325,0.46508923,0.47168434,0.54896950,1.92279050,0.00000000,0.42684656
0.43545225,0.57508310,0.88547826,0.35877964,0.45347370,0.32152850,3.87779210,0.00000000,0.42767550
0.43145785,0.84071416,0.44006693,0.84611845,0.40029943,0.25129780,2.35987190,0.00000000,0.43172057
0.77486180,0.53747890,0.20341371,0.21101736,0.67553705,0.85962810,4.13769400,0.00000000,0.81628521
0.54995570,0.39666906,0.44749662,0.14504516,0.75841390,0.13792361,4.86181100,0.00000000,0.55344085
0.83307560,0.24418038,0.29222580,0.50930030,0.35129640,0.77257097,1.23684940,0.00000000,0.43187957
0.43939692,0.53762800,0.54853250,0.40989006,0.52829540,0.23893920,2.08319160,0.00000000,0.44538788
0.43609586,0.96052360,0.92688805,0.87894523,0.19236190,0.90221960,2.67270730,0.00000000,0.42586435
0.87170196,0.92490786,0.44817072,0.58724990,0.77828400,0.65081763,4.65125700,0.00000000,1.13392347
0.49716250,0.55304986,0.33095430,0.17830476,0.98605950,0.89535360,1.29955520,0.00000000,0.42925852
0.68459177,0.28053984,0.61468655,0.16217312,0.79404040,0.31924080,3.07746530,0.00000000,0.47538496
0.48712550,0.58112913,0.57194430,0.09546018,0.53555810,0.67339440,2.33085780,0.00000000,0.51127846
0.43651342,0.62863510,0.58328813,0.17572302,0.35877672,0.39786428,4.77467700,0.00000000,0.43226263
0.96220344,0.21544518,0.55305950,0.38343220,0.61202544,0.32216120,1.48541530,0.00000000,0.42515428
0.43125800,0.71804560,0.07422334,0.91443145,0.48539668,0.00484647,2.94584180,0.00000000,0.42769995
0.67320323,0.40674424,0.24641103,0.23371449,0.78246760,0.77520030,2.50401330,0.00000000,0.64497902
0.64225400,0.28771190,0.28736710,0.34516376,0.49230328,0.07167140,4.93486640,0.00000000,0.43295071
0.43130118,0.68944240,0.74917120,0.87250817,0.42499733,0.78901450,1.06786760,0.00000000,0.43484105
0.43771362,0.58452720,0.54620820,0.76742303,0.37714425,0.30325997,2.80914000,0.00000000,0.42908295
0.43685590,0.86221117,0.11974502,0.47262117,0.17907993,0.24168184,4.29622360,0.00000000,0.42550880
0.94201060,0.70420800,0.08431572,0.59676190,0.76521176,0.82200850,2.44752140,0.00000000,0.86746953
0.83906764,0.81574550,0.05882683,0.98759395,0.79421204,0.96997290,4.73957800,0.00000000,0.73238727
0.43902478,0.92031900,0.90917474,0.48208636,0.16492608,0.60977140,1.58652600,0.00000000,0.42479164
0.43015206,0.68849030,0.97125100,0.63978030,0.58039135,0.47877985,3.56369690,0.00000000,0.42656240
0.43154052,0.48648486,0.98431010,0.17547955,0.54889250,0.02870657,3.12753650,0.00000000,0.41568257
0.43433002,0.68803980,0.88606720,0.21293534,0.10024699,0.74067530,4.80577330,0.00000000,0.42495494
0.48800078,0.70477530,0.22244138,0.49989850,0.72116630,0.41989204,1.04205080,0.00000000,0.52277706
0.43163043,0.63289493,0.68712430,0.17616859,0.35438317,0.58693470,1.11458330,0.00000000,0.42177956
0.48604366,0.35021114,0.42859370,0.86018070,0.31874263,0.12752430,4.63905430,0.00000000,0.42258316
0.48307237,0.35194236,0.59774840,0.86657830,0.35581850,0.57156575,2.81316660,0.00000000,0.42303215
0.75013000,0.90948004,0.07274655,0.71425830,0.91067420,0.30676970,3.22679330,0.00000000,0.86365550
0.67552465,0.91163080,0.26901677,0.60394424,0.64637005,0.70215863,4.03915200,0.00000000,0.75546068
0.72703147,0.68743480,0.11657291,0.41162363,0.90798720,0.23971511,2.50686570,0.00000000,0.77164577
0.43495733,0.59263176,0.18316680,0.08443180,0.29928510,0.32974540,1.12794380,0.00000000,0.41775246
0.61582350,0.74666240,0.07752517,0.12284081,0.64176905,0.56159430,2.06200050,0.00000000,0.69679841
0.83142590,0.88721740,0.20407893,0.97240460,0.65947100,0.88820260,4.72592700,0.00000000,1.30412312
0.53627440,0.91318940,0.05875235,0.81706554,0.85150033,0.03421213,2.61793160,0.00000000,0.53720667
0.86713120,0.23807190,0.52640870,0.25295702,0.12248848,0.43448532,4.70983550,0.00000000,0.42544766
0.43614548,0.85163600,0.19153760,0.20602402,0.12877947,0.31556848,3.31132270,0.00000000,0.42655863
0.87889314,0.91823125,0.89709950,0.63980660,0.95365590,0.68416980,3.06653400,0.00000000,0.90159795
1.03380510,0.20499250,0.03740354,0.56716347,0.73147064,0.47388813,3.83140680,0.00000000,0.42525657
0.43583632,0.89858740,0.10974063,0.49563846,0.16083090,0.93249404,1.17395390,0.00000000,0.42675753
0.42520577,0.81659910,0.84334260,0.27478305,0.46533120,0.44513905,4.87171200,0.00000000,0.43797883
0.43019757,0.47384262,0.01255100,0.36053926,0.19277106,0.01991789,4.27491430,0.00000000,0.42521256
0.43200845,0.50374610,0.81953734,0.33035842,0.43715054,0.32041910,1.88546340,0.00000000,0.43111091
0.43392070,0.57922447,0.84068170,0.46439150,0.11617453,0.21690749,2.42834570,0.00000000,0.42394892
0.86686180,0.81231440,0.58023626,0.85603090,0.75057390,0.81623410,2.02814720,0.00000000,1.00201467
0.49373037,0.34526035,0.69414260,0.43633977,0.20674819,0.93977135,4.84726500,0.00000000,0.42352661
0.49685650,0.44114400,0.33356887,0.07650363,0.57228917,0.25458208,3.95157720,0.00000000,0.50162788
0.45093146,0.84111494,0.57554390,0.67960960,0.44344336,0.81504030,4.83626650,0.00000000,0.46679545
0.45380780,0.63093585,0.42908800,0.42134765,0.52120630,0.29404843,4.75076500,0.00000000,0.46850195
0.56219083,0.31731275,0.89675010,0.84742516,0.15821281,0.27646843,1.24425790,0.00000000,0.41827506
0.44419852,0.50448330,0.46564743,0.97895980,0.60185600,0.60352194,4.78443860,0.00000000,0.45762449
0.42955267,0.48814496,0.84390676,0.65619010,0.35327905,0.62575555,1.03194190,0.00000000,0.42148823
0.43142410,0.78331110,0.41052710,0.57330906,0.41339684,0.08566161,2.44328240,0.00000000,0.43436123
0.62277600,0.69805330,0.22718646,0.55850303,0.89555043,0.12322992,3.93155480,0.00000000,0.61629072
0.52499620,0.68116020,0.43553680,0.14596787,0.65869960,0.13664861,3.66443780,0.00000000,0.60971228
0.61583760,0.50034200,0.12511812,0.76758540,0.95835480,0.91593470,1.83710130,0.00000000,0.57033520
0.45288575,0.37085890,0.88462710,0.68915550,0.67535270,0.02729643,1.12464700,0.00000000,0.41619590
0.47688110,0.35413298,0.59586900,0.08391602,0.39947465,0.83187526,2.89303660,0.00000000,0.44619185
0.42623374,0.97323060,0.80599385,0.62361526,0.27648250,0.92338720,4.51735100,0.00000000,0.42388650
0.43630305,0.58589584,0.10082136,0.27434972,0.11069761,0.08902723,1.89542810,0.00000000,0.42561950
0.44571418,0.85965246,0.33997520,0.73202110,0.40644413,0.84348494,2.25557660,0.00000000,0.44884323
0.93148610,0.94142790,0.42351452,0.20347357,0.86747750,0.49138546,2.85083480,0.00000000,0.99306620
0.43123966,0.94271800,0.40796018,0.87464710,0.49526745,0.32541850,1.31519900,0.00000000,0.42961570
0.42989030,0.97349560,0.05815336,0.35268268,0.35299993,0.00996501,3.14554020,0.00000000,0.43148484
0.86566156,0.80488000,0.88991827,0.00842127,0.88053550,0.74407387,2.15543680,0.00000000,0.94063476
0.43872120,0.98548996,0.84029067,0.90340880,0.16551687,0.63584125,2.44717600,0.00000000,0.42490454
0.89680600,0.82548570,0.79107140,0.62022746,0.84535020,0.95026106,1.26528330,0.00000000,0.91088198
0.53038070,0.95489290,0.82196826,0.15840940,0.76062274,0.36145850,3.88091540,0.00000000,0.58247623
0.43574142,0.87615573,0.07197962,0.26219416,0.21738009,0.69459945,1.11644600,0.00000000,0.42527454
0.46232474,0.77246800,0.43026617,0.90743310,0.80787170,0.31105850,4.79630000,0.00000000,0.44955938
0.42852753,0.86559870,0.89263666,0.70804030,0.51519406,0.02869844,1.69400570,0.00000000,0.42052897
0.44608000,0.82425990,0.88949920,0.37619080,0.56945850,0.61772080,3.81199400,0.00000000,0.46651290
0.44946050,0.46561550,0.51690970,0.79047310,0.97973000,0.05422695,4.09316600,0.00000000,0.41184094
0.43494980,0.55493826,0.97486410,0.41413853,0.21469067,0.10989963,2.35023260,0.00000000,0.41775709
0.43491158,0.88435143,0.11809862,0.85046875,0.22795199,0.36619267,4.07685470,0.00000000,0.42309957
0.43799692,0.51577413,0.81219876,0.91810430,0.42748803,0.70242160,1.08225140,0.00000000,0.43226010
0.43517014,0.86651490,0.41345623,0.38082275,0.19848801,0.76013380,2.47336080,0.00000000,0.42408129
0.82745930,0.93189746,0.71294310,0.26879412,0.89076555,0.46804518,4.97105030,0.00000000,0.96398749
0.48666787,0.34696695,0.80276763,0.27175793,0.45296538,0.75062270,3.39815450,0.00000000,0.44062304
0.43664145,0.78154624,0.48099187,0.95418220,0.21759280,0.21088018,1.18286920,0.00000000,0.41827692
0.43235980,0.51845795,0.74050444,0.96692234,0.20348576,0.53093624,2.98361470,0.00000000,0.41811356
0.50425184,0.34075810,0.85198087,0.96422620,0.39245450,0.18645383,4.47096900,0.00000000,0.41760941
0.62601510,0.33235374,0.58627780,0.56496210,0.90715160,0.71409700,3.18359400,0.00000000,0.53481224
0.74767345,0.26508100,0.60845053,0.97137153,0.16390996,0.61727510,4.37382940,0.00000000,0.41812068
0.69802696,0.27610582,0.66632590,0.53420930,0.26262242,0.97709316,3.57909180,0.00000000,0.42136782
