like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
7.49770830,0.43734583,0.29288894,0.68842643,0.69940495,0.40895662,2.91407280,0.00000000,0.98061679
5.27834270,0.54531235,0.64209080,0.78820306,0.92337716,0.30432275,3.19687200,0.00000000,0.92296735
6.43911500,0.48835370,0.10196691,0.87671600,0.77582050,0.55899880,4.67716070,0.00000000,0.92546829
1.01200970,0.78790000,0.29383730,0.28107724,0.71102460,0.14845490,2.28177550,0.00000000,1.02184112
5.74336300,0.52978810,0.63983727,0.67015860,0.56852305,0.69157654,4.85234170,0.00000000,1.09087804
8.83172500,0.36803436,0.02265134,0.56214845,0.75285953,0.18299417,2.11345930,0.00000000,1.07069883
0.81601700,0.96525770,0.48474064,0.96159977,0.77583766,0.51124066,3.30720400,0.00000000,1.22727410
4.56187440,0.58889407,0.30981162,0.42703736,0.69463676,0.16813304,1.34025480,0.00000000,1.15869591
0.87974410,0.98337540,0.71590364,0.54936830,0.86596245,0.04524411,4.64937000,0.00000000,1.07356173
1.11604920,0.79756820,0.45544294,0.08684039,0.12368033,0.77093965,1.09518900,0.00000000,1.36596631
8.06565600,0.40708154,0.23628886,0.55908066,0.97439830,0.01779440,1.16391050,0.00000000,1.15190215
7.23179440,0.45512940,0.47816437,0.87435114,0.42127678,0.33756554,4.52759360,0.00000000,1.30351568
2.91001320,0.67237250,0.67965406,0.65287710,0.59844923,0.68138200,2.32622460,0.00000000,1.00008038
1.03700920,0.87447330,0.63424915,0.23901111,0.34520265,0.22128549,2.20373340,0.00000000,1.33064294
0.86499890,0.79183830,0.41253263,0.61778456,0.69314670,0.52807057,4.24608800,0.00000000,1.08293014
2.26013850,0.69342065,0.31398344,0.71218310,0.91797453,0.48291370,3.06612280,0.00000000,0.94627626
11.48608700,0.23016888,0.80791010,0.74277940,0.24705502,0.70027780,1.83117600,0.00000000,1.33855175
2.51924510,0.69645524,0.21122636,0.22426526,0.26036930,0.65486324,2.75685300,0.00000000,1.33013945
2.44776650,0.70059790,0.11804389,0.44703737,0.19167982,0.29438528,1.06986860,0.00000000,1.36597491
