like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.75617325,0.95443470,0.10922430,0.82799620,0.12225274,0.10465175,3.27894330,0.00000000,0.62589512
0.91340584,0.22355996,0.24818288,0.21898858,0.64704140,0.34671193,1.94417230,0.00000000,0.61166350
0.84209156,0.26283350,0.10713684,0.96908474,0.89019500,0.11045037,1.27963400,0.00000000,0.56966567
0.77094170,0.34085990,0.04805658,0.31845927,0.25038815,0.71625850,4.58772330,0.00000000,0.54917226
0.75148076,0.90174264,0.77609473,0.98144260,0.45179500,0.07160297,2.22013780,0.00000000,0.61068995
0.74668660,0.74401990,0.37069184,0.95942670,0.45065925,0.49708924,1.58733800,0.00000000,0.56306727
0.74756910,0.78568360,0.43672130,0.83470136,0.14078744,0.22941427,3.58128140,0.00000000,0.56967234
0.84806580,0.47475782,0.32197848,0.72079396,0.81082934,0.61062510,1.24675760,0.00000000,0.69280936
1.03370950,0.86471283,0.98256430,0.39519650,0.94218254,0.65088940,2.31231830,0.00000000,1.03412470
0.74414414,0.69359030,0.12421913,0.22109139,0.49320012,0.74349445,4.54813200,0.00000000,0.55815585
0.74482350,0.64323217,0.79372376,0.79523250,0.13623592,0.45752373,2.02512100,0.00000000,0.56094198
0.75055550,0.37210402,0.36698395,0.52810687,0.27839090,0.42647207,4.88689140,0.00000000,0.55180481
0.74515194,0.55750530,0.75444180,0.70214910,0.51488423,0.88771987,1.65212950,0.00000000,0.54887230
0.78997470,0.47422230,0.13043490,0.32427800,0.77133596,0.30881765,4.94174860,0.00000000,0.61705900
0.79749840,0.31166238,0.97354454,0.60126350,0.16633423,0.22468910,4.23295640,0.00000000,0.55013597
0.74584850,0.38190466,0.19142735,0.54757744,0.18112394,0.46959808,3.80667880,0.00000000,0.55278288
0.74527520,0.54926020,0.82996140,0.88859520,0.25024435,0.19227597,3.88817140,0.00000000,0.54590199
0.78879190,0.68701905,0.25320986,0.82922260,0.83149546,0.24647710,4.24637840,0.00000000,0.62118780
0.83095336,0.91489770,0.15545908,0.44270942,0.91825294,0.88245690,1.43026040,0.00000000,0.76463628
0.74544460,0.58818185,0.39470250,0.19696556,0.21340723,0.00713624,1.15588510,0.00000000,0.55198124
0.76524750,0.28945708,0.53789747,0.77399240,0.88271590,0.99036940,3.09785410,0.00000000,0.62473620
0.75189380,0.83011360,0.54131705,0.99744797,0.25423840,0.37009020,1.43261360,0.00000000,0.57970674
0.70492500,0.36780345,0.02061874,0.91954860,0.98228705,0.38961858,4.60883900,0.00000000,0.60274336
0.73464980,0.48125896,0.46613380,0.71220010,0.57089204,0.43578740,3.67295400,0.00000000,0.54407322
0.74167670,0.38879290,0.70287530,0.41313980,0.56815920,0.48899470,3.93203190,0.00000000,0.55002248
0.86902280,0.48241177,0.03659079,0.65560716,0.84287477,0.68843570,3.46128820,0.00000000,0.79996438
0.74486136,0.54819980,0.73673810,0.27769720,0.39548030,0.85810300,3.31953880,0.00000000,0.54598383
0.77104990,0.98384210,0.69235206,0.17545289,0.67346970,0.48598290,2.49237320,0.00000000,0.64547690
0.80186410,0.48124954,0.59019256,0.25733203,0.73872030,0.54262830,3.81993910,0.00000000,0.60984763
0.97117190,0.20159197,0.70043380,0.78976830,0.94824890,0.16702218,2.15170900,0.00000000,0.65506185
0.73473150,0.46783280,0.20418920,0.01620141,0.77961000,0.13962372,1.04141490,0.00000000,0.54985687
0.74624920,0.71915720,0.87151504,0.01975940,0.10060485,0.87976290,3.81192110,0.00000000,0.56313879
0.74722610,0.60967326,0.07976865,0.48158234,0.68584620,0.10462747,4.81498340,0.00000000,0.56923826
0.74575650,0.38182858,0.71673054,0.25835720,0.41694596,0.27811378,1.33904210,0.00000000,0.55257931
0.76902080,0.88787150,0.05717780,0.48027793,0.75906830,0.22066773,1.88691400,0.00000000,0.65049616
0.78014386,0.71626294,0.07747469,0.85225046,0.97640437,0.43546686,1.66656000,0.00000000,0.69838267
0.75486183,0.89319175,0.05097586,0.28113505,0.64774010,0.27490214,2.57492230,0.00000000,0.61248147
0.74464880,0.62150100,0.25196484,0.01669284,0.32644390,0.63482780,2.27454230,0.00000000,0.56011329
0.74407070,0.65287910,0.23996681,0.27156994,0.51652340,0.70715580,3.67829080,0.00000000,0.55731208
0.74785940,0.70780754,0.38816240,0.23776722,0.66185620,0.05756190,4.03950800,0.00000000,0.56114208
0.75547080,0.92562133,0.87098550,0.75162566,0.33230034,0.76094760,2.13450810,0.00000000,0.62264345
0.82544630,0.55941796,0.09824498,0.79805660,0.78458080,0.43606490,2.17062400,0.00000000,0.63018661
0.75046337,0.80506520,0.09884444,0.81591910,0.49701744,0.61695980,1.32989980,0.00000000,0.57516480
0.75142500,0.82591210,0.41253904,0.36242905,0.44736007,0.55750380,2.65997720,0.00000000,0.57813094
0.97008940,0.62966180,0.25430968,0.54189396,0.84620710,0.51982930,3.24278830,0.00000000,0.83840864
0.75583390,0.93659650,0.37231436,0.07243843,0.35980060,0.94412315,4.27334700,0.00000000,0.62195894
0.75402000,0.97396980,0.21410199,0.51223683,0.69313260,0.11953281,1.24218690,0.00000000,0.62379087
0.96394690,0.20242319,0.87820166,0.21399128,0.12927952,0.70227620,2.61394170,0.00000000,0.64499327
0.74679130,0.59383180,0.76840890,0.39168990,0.64749610,0.32622814,1.44547500,0.00000000,0.55684340
0.74399100,0.54249567,0.98746260,0.86239910,0.23027090,0.13452362,3.23956900,0.00000000,0.54521582
0.83568070,0.55356780,0.09613489,0.45517550,0.68655190,0.89224803,2.96479420,0.00000000,0.63171909
0.74535644,0.97500620,0.06242456,0.94581850,0.94722676,0.83892125,3.19814280,0.00000000,0.64691829
0.72332470,0.49855605,0.95226790,0.26366258,0.87762230,0.08910585,3.18120150,0.00000000,0.54614183
0.88605165,0.24498987,0.38053456,0.27721605,0.41794580,0.93833530,1.34448200,0.00000000,0.58861862
0.75313780,0.36743050,0.15376660,0.60392200,0.23351645,0.33069750,1.73687930,0.00000000,0.55112399
0.76725036,0.96416860,0.18535508,0.78396076,0.59587514,0.93106750,2.17205360,0.00000000,0.63876130
0.74506150,0.59618630,0.30202374,0.51148490,0.35091930,0.23299147,2.77743600,0.00000000,0.55415318
0.84479270,0.83319205,0.65671575,0.57943946,0.96509940,0.89777730,1.41812190,0.00000000,0.79242589
0.74819030,0.37689888,0.83668760,0.80647933,0.17445976,0.28454885,2.78943350,0.00000000,0.55242068
0.77502584,0.33891922,0.43828893,0.24257866,0.66243240,0.62891585,4.40143870,0.00000000,0.56910040
0.89084625,0.54639070,0.89225830,0.21426953,0.83801895,0.83028525,2.31277040,0.00000000,0.75971831
0.75040036,0.88299257,0.76645195,0.24594286,0.51925160,0.19057372,3.62290200,0.00000000,0.60241997
0.92243450,0.21960613,0.83132744,0.71683940,0.56908650,0.73758170,2.65936920,0.00000000,0.61634916
0.88790506,0.50668440,0.32825947,0.65575850,0.86191150,0.54094820,2.34141200,0.00000000,0.77847614
0.73334070,0.42339885,0.79830940,0.27573900,0.39990178,0.38438338,4.39146000,0.00000000,0.55235013
0.93059930,0.91717243,0.25837985,0.64539800,0.76083374,0.70995860,1.22229790,0.00000000,0.82767941
0.80784490,0.65712010,0.66469250,0.45277837,0.91291517,0.17174937,1.60526370,0.00000000,0.63383964
0.73406220,0.41992040,0.46320114,0.84177464,0.25396457,0.23695143,3.70568230,0.00000000,0.55236195
0.74897460,0.57106840,0.90548510,0.79901610,0.63852936,0.54987040,4.63202140,0.00000000,0.55543842
0.74667660,0.60047346,0.77238256,0.02808767,0.65596130,0.01973452,4.29857830,0.00000000,0.55623272
0.74095780,0.52557707,0.57700497,0.04428897,0.39111426,0.85064477,2.27145360,0.00000000,0.54468535
