like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.26337266,0.20668966,0.90264220,0.18411127,0.68432295,0.21439865,2.62940260,0.00000000,1.09105225
0.27707216,0.51337194,0.31384350,0.56413070,0.54161200,0.92854740,1.64814480,0.00000000,1.08479944
0.27961000,0.58831580,0.47876132,0.43288717,0.62050800,0.55295010,3.55439280,0.00000000,1.08412881
0.25736907,0.57183075,0.26236522,0.36999667,0.12576352,0.77833986,1.80960390,0.00000000,1.07929490
0.25601345,0.78597110,0.45029420,0.03773995,0.22658888,0.09657417,1.99050350,0.00000000,1.07320075
0.28043604,0.61298513,0.18018357,0.84584470,0.75622140,0.31467230,1.41258820,0.00000000,1.08505872
0.26789242,0.63559383,0.85266580,0.04607561,0.81239635,0.20046073,1.83994830,0.00000000,1.08401151
0.27667698,0.58429380,0.39054670,0.10154815,0.63881830,0.22648443,4.82039740,0.00000000,1.08538465
0.29548278,0.64324750,0.86707383,0.56402710,0.75626683,0.75576590,1.16105740,0.00000000,1.09996315
0.25607502,0.94995224,0.71422670,0.94483715,0.66310560,0.07976355,2.25190600,0.00000000,1.06965182
0.32303473,0.69217960,0.02725144,0.33994648,0.87808520,0.88704480,3.72076420,0.00000000,1.14729657
0.28323975,0.43539673,0.28127062,0.46159998,0.87022144,0.36219487,1.56441400,0.00000000,1.10798788
0.33198705,0.83110010,0.23357098,0.52146630,0.71767460,0.84878970,3.84918330,0.00000000,1.12438298
0.29477865,0.86800670,0.63754060,0.76005530,0.96400650,0.57921890,1.88580140,0.00000000,1.14443281
0.26788324,0.40437490,0.61699450,0.56014180,0.58489895,0.57148760,1.62433800,0.00000000,1.08626408
0.25538614,0.92173326,0.90605104,0.48340482,0.28364490,0.37945673,4.13680600,0.00000000,1.06986262
0.25755674,0.52858740,0.79094670,0.00961313,0.25028187,0.72092190,2.21547150,0.00000000,1.08058267
0.26002700,0.27485195,0.23430118,0.08830205,0.28930148,0.55681040,4.54672050,0.00000000,1.08825152
0.25605310,0.77784187,0.05554444,0.10369568,0.41104868,0.09961154,1.03187000,0.00000000,1.07355283
0.26601452,0.45252550,0.22743352,0.23802222,0.83562350,0.11082798,1.14194770,0.00000000,1.09522832
0.25686467,0.80604064,0.24225123,0.66396670,0.29078102,0.69602734,3.61203170,0.00000000,1.07281339
0.29484034,0.51578580,0.60771250,0.62617800,0.77437955,0.85099643,3.51206450,0.00000000,1.11127764
0.28179234,0.81966287,0.73011410,0.68281734,0.62008256,0.68199870,4.69221100,0.00000000,1.07796069
0.33141260,0.21970627,0.32544040,0.07427131,0.87731314,0.97181110,2.62865190,0.00000000,1.09741224
0.26508190,0.37498868,0.94125860,0.48261225,0.75230160,0.35940012,1.47198380,0.00000000,1.08681281
0.31803460,0.86937060,0.47419786,0.16786593,0.86648740,0.36687514,2.34964470,0.00000000,1.12104703
0.26322728,0.86820054,0.04278607,0.43349660,0.41290763,0.46791673,4.99890950,0.00000000,1.07181460
0.25715324,0.59078720,0.39492840,0.60965780,0.27334568,0.15486890,1.36548160,0.00000000,1.07874945
