like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.20505843,0.58553920,0.61974840,0.50939476,0.29950806,0.46462592,2.60309930,0.00000000,0.24838306
0.20371630,0.48588625,0.90191570,0.79424750,0.10240181,0.25458800,2.60363170,0.00000000,0.24702871
0.20494147,0.54231670,0.69910960,0.08813487,0.26662090,0.42148927,3.63250680,0.00000000,0.24804429
0.20574130,0.40825150,0.50491540,0.66076550,0.43212384,0.37736490,2.03195290,0.00000000,0.24785977
0.20745530,0.86395870,0.68524920,0.60527843,0.20899157,0.89377415,2.06183960,0.00000000,0.25121486
0.23540445,0.57593610,0.54201140,0.49574113,0.84480490,0.68339485,2.78637580,0.00000000,0.29541142
0.21362318,0.35003590,0.68551534,0.30872786,0.89881766,0.05011582,1.13757880,0.00000000,0.26600999
0.23162791,0.43787888,0.46884653,0.21563874,0.83659315,0.97746270,2.83481500,0.00000000,0.29443113
0.29348004,0.54809713,0.81321590,0.95517737,0.72722970,0.04437611,4.63754270,0.00000000,0.32213476
0.23637992,0.57684830,0.78400760,0.74245660,0.95224595,0.45410264,2.63554790,0.00000000,0.28092051
0.23715708,0.82583290,0.57342120,0.22088777,0.96603220,0.92054190,4.34173770,0.00000000,0.28413873
0.22476026,0.95462580,0.00914210,0.80536110,0.48025414,0.86842126,4.31908940,0.00000000,0.27088291
0.22518985,0.41423210,0.75790310,0.51396680,0.87226820,0.95619690,1.83781620,0.00000000,0.28172777
0.21406974,0.62182550,0.54399970,0.43167810,0.95591940,0.14134501,2.76136900,0.00000000,0.25918495
0.20489523,0.78088660,0.76983637,0.38054648,0.21567130,0.70270663,4.73766760,0.00000000,0.25031786
0.20474844,0.56049390,0.93046033,0.50946320,0.24256374,0.15880236,2.43857930,0.00000000,0.24805743
0.20595036,0.24600185,0.63359890,0.91108490,0.30474160,0.43501650,3.80669830,0.00000000,0.24740182
0.22050588,0.91981390,0.49290200,0.96985686,0.65680110,0.56939240,4.50312000,0.00000000,0.26286113
0.20516272,0.58500790,0.55301830,0.20158638,0.24784987,0.49178708,2.63023350,0.00000000,0.24840123
0.25713292,0.77820570,0.82182090,0.87099260,0.76877785,0.18475947,2.62180400,0.00000000,0.30273342
0.20629844,0.86125165,0.54245114,0.08070983,0.24471736,0.60176580,1.33849600,0.00000000,0.25124998
0.21043545,0.45284432,0.25594620,0.22344545,0.45003113,0.59701240,3.48668400,0.00000000,0.24912572
0.20384315,0.60925746,0.50938830,0.71237390,0.12071512,0.18398063,3.28519440,0.00000000,0.24799301
0.22340050,0.79782635,0.68847746,0.53292656,0.74109000,0.47591847,4.23663500,0.00000000,0.26636918
0.25805962,0.91848570,0.08301604,0.05084220,0.71428730,0.71807750,4.80590500,0.00000000,0.32626507
0.20687166,0.25574398,0.46388072,0.39312810,0.47341442,0.52840380,4.50958000,0.00000000,0.24823799
0.20647335,0.22903207,0.61313415,0.92352915,0.31464022,0.32322928,4.47583530,0.00000000,0.24798678
0.24315731,0.22280307,0.97705364,0.76871973,0.83160436,0.62390290,2.14020780,0.00000000,0.28786242
0.24509019,0.75665414,0.84889390,0.55321810,0.79521364,0.91765990,4.95142400,0.00000000,0.30392414
0.24533458,0.86241270,0.46619228,0.18546255,0.95827156,0.34721887,4.46443840,0.00000000,0.29799972
