like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.63721216,2.3577337,0.46842867,0.7011281,0.9985501,0.2702845,0.6706534,1.1229129,1.0
0.6478726,2.0358832,0.57022315,0.6755031,0.12261792,0.26107338,0.6989423,4.338564,1.0
0.63892365,2.3942883,0.40876254,0.748663,0.68673116,0.14782307,0.68444234,2.1441474,1.0
0.6387627,2.210842,0.2615551,0.70199066,0.44212952,0.41969606,0.5120967,3.5176742,1.0
0.6566838,2.1533515,0.3518339,0.732666,0.49620578,0.38242367,0.8628256,1.1271633,1.0
0.65459496,2.4629414,0.23845139,0.8486857,0.14854142,0.4660147,0.6354461,4.0233626,1.0
0.7266193,1.3577287,0.40948537,0.6751891,0.15312009,0.14486586,0.97764385,2.203761,1.0
0.6209734,3.2270348,0.55631065,0.96542394,0.9080886,0.3729339,0.61755234,3.4466467,1.0
0.6386156,2.1851552,0.49638838,0.70315975,0.8296479,0.46821988,0.52771467,1.2738008,1.0
0.6338876,2.5339527,0.6329961,0.75120753,0.4622714,0.15327322,0.61267674,1.0261995,1.0
0.79291314,1.5869801,0.26230812,0.8816609,0.32534587,0.04079157,0.96127295,3.7839606,1.0
0.63876235,2.2703798,0.2857049,0.7097869,0.8285987,0.3566073,0.57918483,3.5955951,1.0
0.62995356,2.7074585,0.42547026,0.82882166,0.27464414,0.367118,0.5486951,2.505353,1.0
0.6349212,2.8929937,0.26219615,0.9209566,0.89946043,0.45031318,0.7762935,2.7550492,1.0
0.62957907,2.784777,0.3129994,0.84436417,0.37355107,0.076199606,0.58918124,2.92694,1.0
0.62969536,3.0673056,0.2443321,0.94960064,0.32750982,0.057193417,0.6293522,4.4596624,1.0
0.6760597,2.2071598,0.25966796,0.80533206,0.699774,0.30347386,0.87207377,2.8864424,1.0
0.62065375,3.1900434,0.3930847,0.94065744,0.8122915,0.2609951,0.54510236,2.1108813,1.0
0.63914484,2.3217127,0.5113567,0.7108483,0.76540834,0.056249384,0.6709309,2.076117,1.0
0.6394284,2.2654574,0.62524164,0.68006325,0.877198,0.24829969,0.6867256,3.5689654,1.0
0.6390188,2.6972878,0.21165061,0.8393483,0.94509166,0.37740752,0.87270355,1.7271957,1.0
0.6432427,2.1057289,0.50033844,0.6742355,0.11590363,0.03764978,0.61286765,4.3426833,1.0
0.7113538,2.415355,0.5279371,0.9261293,0.025678596,0.4101043,0.8266616,2.9681191,1.0
0.80034035,1.7486097,0.51004964,0.95157605,0.035642777,0.49200326,0.9648765,2.2661128,1.0
