like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.7817993,1.2417227,0.52255297,0.80115855,0.7360817,0.014036313,0.68747765,4.2451887,1.0
0.8296098,1.3180484,0.40351343,0.72323614,0.1686796,0.056019627,0.6719787,1.1385076,1.0
0.71148616,1.0554811,0.6384511,0.8854861,0.19761784,0.47651768,0.775239,2.6485903,1.0
0.7508384,1.2136997,0.31225365,0.8626721,0.9831564,0.32902098,0.90396136,4.5893493,1.0
0.77009034,1.1885836,0.52230257,0.81784815,0.85660744,0.1700555,0.59430176,2.054033,1.0
0.77129143,1.2898297,0.20473528,0.8124534,0.7389862,0.034334604,0.7758181,1.7872348,1.0
0.777289,1.134586,0.5410372,0.7056109,0.6680459,0.32974193,0.75359434,3.3706863,1.0
0.67939425,1.2057277,0.39961135,0.86711085,0.8819378,0.35787627,0.86666477,4.069964,1.0
0.7806139,1.2031119,0.5187198,0.8136027,0.69962114,0.16435415,0.6876307,1.0045185,1.0
0.759476,1.0683722,0.29454374,0.8673776,0.19589715,0.040603675,0.76633143,3.7626538,1.0
0.6745515,1.0467135,0.4110523,0.86444885,0.5012504,0.13990363,0.88504,3.8551579,1.0
0.7215073,1.0174912,0.572603,0.7407425,0.028692445,0.4232271,0.7566843,4.7686644,1.0
0.70607644,0.9237859,0.3121748,0.76433223,0.47689506,0.33156618,0.8254577,4.1932673,1.0
0.75081,1.1824131,0.2543358,0.8422698,0.20645818,0.11471309,0.6417638,4.6181793,1.0
0.7575881,1.1340725,0.56914574,0.7612464,0.15991902,0.11945574,0.66450876,4.387353,1.0
0.75069016,1.2122258,0.4819912,0.8515396,0.82190764,0.18510157,0.6898437,4.7307725,1.0
0.74080575,1.2250164,0.6028135,0.9006952,0.3854383,0.48065528,0.5127842,1.5225123,1.0
0.72940123,1.0190946,0.21695201,0.9115494,0.39054182,0.22987065,0.9031977,1.0689762,1.0
0.726424,1.2048326,0.40176618,0.8192751,0.8116131,0.4318004,0.8022231,1.3630482,1.0
0.7516567,1.095862,0.5801464,0.7004065,0.32404563,0.18182728,0.97833836,3.2696471,1.0
0.8473437,1.1954888,0.6018153,0.6916969,0.45578706,0.044470064,0.72364604,4.139295,1.0
0.7382485,0.9279149,0.31932196,0.8600646,0.49069104,0.38542438,0.83229285,2.7440193,1.0
0.7955031,0.73976624,0.25335717,0.72914034,0.19577575,0.0692966,0.9498128,1.580653,1.0
0.76980513,1.1836244,0.24735077,0.79637504,0.596407,0.1366094,0.6171249,1.4611899,1.0
0.73263174,1.2012609,0.5294062,0.84211594,0.17147554,0.39617905,0.7631382,1.2398089,1.0
0.76055694,1.18796,0.30567434,0.73818123,0.7977494,0.30462217,0.7878473,1.2726828,1.0
0.7503842,1.1897289,0.5264044,0.76582295,0.9107872,0.19239427,0.79201883,1.9478599,1.0
0.7960971,1.346621,0.38557953,0.9126247,0.3642588,0.0071413503,0.5114779,2.4100287,1.0
0.78632534,1.1418253,0.39221495,0.69849014,0.8642511,0.28701565,0.7801392,3.5546002,1.0
0.7613055,1.1950915,0.42213708,0.8358352,0.20335655,0.04028315,0.7372083,3.6606338,1.0
0.8702057,1.1803383,0.5324065,0.69262916,0.7828005,0.034406446,0.53057873,1.6583902,1.0
0.7414464,0.92773354,0.3195259,0.7263721,0.41574988,0.35823268,0.7710458,2.5050323,1.0
0.72680014,1.1893723,0.54196924,0.9024918,0.51231056,0.43901807,0.68483937,4.6300187,1.0
0.7265003,1.155687,0.5897587,0.86841303,0.3097766,0.25196218,0.73082477,4.8648047,1.0
0.76488894,1.2343711,0.5611221,0.7932896,0.39464337,0.013906639,0.73586637,4.158566,1.0
0.78725845,0.8083792,0.22474389,0.7450259,0.26442423,0.0779238,0.8485724,2.7182484,1.0
0.7751349,1.3269035,0.6056177,0.9477659,0.51648486,0.0756777,0.56076777,4.738379,1.0
0.6649655,1.0313177,0.660082,0.877619,0.12156731,0.48649797,0.8714356,3.7935927,1.0
0.87026733,1.1583967,0.26431724,0.6810914,0.79232365,0.05810294,0.6375578,3.2090108,1.0
0.7903624,1.2711911,0.27834943,0.8582148,0.019387193,0.046587843,0.52606523,3.3199391,1.0
0.72423214,1.0730945,0.4139797,0.7030032,0.48530897,0.10985012,0.8587652,4.8874846,1.0
0.7577022,1.1637672,0.31371498,0.8075323,0.23009728,0.10236617,0.61488277,4.6025176,1.0
0.7318032,1.1294943,0.2533819,0.9550422,0.5793089,0.17120323,0.76287323,4.065573,1.0
0.70292753,1.1663345,0.256376,0.8772231,0.7548574,0.25483385,0.7993535,3.0836263,1.0
0.59872085,0.9582958,0.47961906,0.7632426,0.11998603,0.38860345,0.98300153,3.721477,1.0
0.7766989,1.1080941,0.5264745,0.68640924,0.49062443,0.45493367,0.83406395,1.6721417,1.0
0.757888,1.0965542,0.5789316,0.72990865,0.913649,0.48508132,0.75822353,1.1470355,1.0
0.71928877,0.63072395,0.38093382,0.7518913,0.11779601,0.43560407,0.93707377,1.2126756,1.0
0.6570627,1.0202445,0.5268413,0.9691574,0.18419628,0.11803715,0.9836513,2.6504276,1.0
0.6675928,1.238506,0.4868476,0.92772794,0.82622015,0.4945282,0.8342222,2.8275084,1.0
0.7874159,0.98097396,0.21832795,0.68253464,0.5275282,0.14536504,0.7822955,3.1501105,1.0
0.7767491,1.1711683,0.3377528,0.7310025,0.45838007,0.064984694,0.8048323,1.6870601,1.0
0.7884102,1.321564,0.57746154,0.9078123,0.16936284,0.014609538,0.54282546,4.735142,1.0
0.80207264,1.4384619,0.40465394,0.912965,0.95854425,0.0063517303,0.5296668,3.3511841,1.0
0.7279674,1.1039447,0.25232345,0.7610656,0.90995157,0.29239345,0.9779127,4.533201,1.0
0.8341489,0.68413603,0.37677687,0.93386096,0.08957787,0.4335815,0.9265258,2.377163,1.0
