like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.5378566,0.7909696,0.565812,0.7880849,0.43722916,0.13798815,0.9796693,4.838951,1.0
0.56324893,0.86543834,0.3757315,0.80109453,0.83672786,0.1285824,0.95123327,2.9890063,1.0
0.5884611,0.9759724,0.3341468,0.90330994,0.9345242,0.026253948,0.8205857,1.2758473,1.0
0.5825677,0.89087164,0.6547439,0.67397344,0.71443886,0.25451767,0.6038026,1.2451816,1.0
0.5461478,0.506358,0.50984764,0.6935815,0.47711754,0.22002934,0.66345197,2.5045671,1.0
0.5227816,0.40367708,0.3476623,0.8032425,0.5716362,0.23334809,0.60441333,1.7010758,1.0
0.5562999,0.6304042,0.49264893,0.6797982,0.5453735,0.13974562,0.83364546,4.204204,1.0
0.5344358,0.603682,0.58956605,0.7204896,0.54206216,0.33576298,0.9309366,4.6027036,1.0
0.4542442,0.52771825,0.23582445,0.88594675,0.44205084,0.16682105,0.7627434,4.6999416,1.0
0.55260235,0.6211533,0.58992785,0.7255141,0.73195475,0.31115553,0.6145711,2.8767922,1.0
0.4974657,0.29294777,0.25549164,0.88946223,0.70813185,0.1880362,0.8336809,3.1546388,1.0
0.54517424,0.5190454,0.56196314,0.6778959,0.61843705,0.3653902,0.65644306,2.9284298,1.0
0.56574893,0.77237725,0.38922435,0.9264379,0.95452714,0.28173068,0.5446991,3.3559399,1.0
0.44577426,0.99907607,0.30134326,0.8412042,0.4853438,0.39343837,0.76372015,1.594409,1.0
0.4641261,0.5716033,0.6337867,0.9483989,0.064867266,0.39603698,0.68223697,3.1200037,1.0
0.5264389,0.65235996,0.46290216,0.85645926,0.4254088,0.28056464,0.8760288,1.0012578,1.0
0.4749389,0.9170355,0.47107586,0.93915915,0.8564698,0.4908771,0.95462424,1.5512074,1.0
0.49710113,0.3512329,0.55178845,0.86780375,0.016021721,0.15230799,0.6696605,1.4327581,1.0
0.55787694,0.63756037,0.52216595,0.8160764,0.39142105,0.055746976,0.5282925,2.6015449,1.0
0.5033788,0.4829633,0.64068776,0.85261875,0.06573818,0.017720018,0.9362522,1.9742132,1.0
0.527524,0.5925306,0.5326701,0.72196764,0.4392589,0.20945391,0.9308154,3.3804429,1.0
0.45521173,0.970877,0.3435674,0.8953294,0.019896062,0.21207342,0.6847891,3.082078,1.0
0.49719554,0.44370005,0.2538971,0.9533116,0.26508313,0.067262284,0.6053876,2.688047,1.0
0.5031481,0.47558194,0.3520828,0.8523091,0.7681075,0.40196693,0.62583107,4.6952567,1.0
0.5326997,0.48498157,0.6554626,0.8322918,0.16681413,0.06190673,0.83975804,3.5132453,1.0
0.5882184,0.90459615,0.51815444,0.9113366,0.8767473,0.059113536,0.63612664,2.3978136,1.0
0.38068262,0.77769744,0.34708565,0.8649629,0.49717858,0.39729235,0.92220235,1.1807907,1.0
0.5474162,0.5532088,0.22317849,0.8317921,0.8799498,0.27642792,0.66056454,1.7786732,1.0
0.55226517,0.59238,0.60943174,0.86145055,0.67402786,0.23786117,0.64163846,2.1692443,1.0
0.5948994,1.108459,0.53001493,0.9660734,0.9773203,0.12787172,0.90641487,4.0713763,1.0
0.5604035,0.71292794,0.6399858,0.6947322,0.47943237,0.30602285,0.80889696,3.0318086,1.0
0.54261035,0.56867903,0.39448717,0.67418927,0.5394831,0.017575836,0.8739235,2.441548,1.0
0.33194762,0.6923364,0.43074268,0.96308553,0.23571847,0.30485526,0.9785607,1.3353251,1.0
0.41175988,0.6348975,0.31295392,0.8898196,0.27438208,0.0017227078,0.943311,2.7053711,1.0
0.53651,0.4520183,0.58651614,0.7522831,0.4233341,0.28359488,0.6808956,3.7024834,1.0
0.58407664,0.87019336,0.41800165,0.7786161,0.8833342,0.12042829,0.5447015,3.2194948,1.0
0.48883766,0.70465595,0.41316476,0.72896105,0.104891606,0.39271784,0.6493846,1.2518158,1.0
0.5397198,0.5709721,0.37307957,0.9434688,0.85148436,0.32928765,0.5336439,3.567267,1.0
0.47483173,0.35406727,0.63834614,0.86088586,0.04578956,0.36085767,0.7513691,3.9761276,1.0
0.5442427,0.52101743,0.55218184,0.81701505,0.16361876,0.06786111,0.5692113,1.8218446,1.0
0.481336,0.53914034,0.43487164,0.7333642,0.47311068,0.37056646,0.7651161,3.0579288,1.0
0.50395733,0.4223689,0.31144747,0.786763,0.18022773,0.05083786,0.6285557,3.6451962,1.0
0.5204571,0.47096363,0.3839614,0.790795,0.5211648,0.3480418,0.51524216,1.5388912,1.0
0.5424676,0.5035847,0.42461422,0.7994734,0.42354867,0.08927846,0.57245684,3.5643125,1.0
0.5015759,0.42092285,0.5474929,0.7842755,0.10355019,0.31761417,0.64214873,4.2401643,1.0
0.4886555,0.5461574,0.40049928,0.8442582,0.37425524,0.33294463,0.624344,3.613328,1.0
0.4888644,0.5752652,0.35705006,0.70998216,0.71017724,0.39339226,0.8340672,3.7369752,1.0
0.5478118,0.53919053,0.46946633,0.76447767,0.55495095,0.20402192,0.5613066,2.6078987,1.0
0.5637711,0.70573485,0.658863,0.82798564,0.72777116,0.23418112,0.64020336,2.08529,1.0
0.5139012,0.5113918,0.21180609,0.8005039,0.48190737,0.3213773,0.52070934,1.8438535,1.0
0.5579089,0.7269571,0.42704144,0.8351802,0.8530695,0.19994181,0.8586329,4.383453,1.0
0.50890476,1.0889851,0.31710047,0.6806233,0.25397557,0.46357554,0.5241601,1.3456538,1.0
0.57086605,0.69051254,0.5465108,0.68193007,0.23399198,0.020400666,0.6476381,4.687333,1.0
0.529057,0.47654822,0.2632092,0.80593044,0.7042124,0.013328078,0.85178447,4.0448375,1.0
0.5433912,0.47495994,0.54451007,0.7337727,0.22907372,0.1395631,0.6556196,3.6835625,1.0
0.5325943,0.44543955,0.26049772,0.8828427,0.7623209,0.19337416,0.695402,4.148404,1.0
0.40957275,1.9520941,0.22924805,0.88550663,0.11181424,0.13551205,0.9557906,3.236905,1.0
0.4938247,0.88765883,0.23282398,0.801702,0.25801778,0.36275697,0.559207,2.6238902,1.0
0.53608215,0.5235877,0.54965246,0.70048684,0.93120676,0.40884617,0.74793285,3.158092,1.0
0.49410933,0.29427138,0.4671872,0.935279,0.5659287,0.16198583,0.8311802,3.8615487,1.0
0.40274388,0.8982874,0.3056894,0.71217525,0.30873346,0.27399543,0.9325853,1.2777736,1.0
0.5133674,0.41789815,0.30559605,0.68442386,0.6261906,0.1919946,0.87942094,3.1545708,1.0
0.47836146,0.26821578,0.30254927,0.9621247,0.6635306,0.15179738,0.84671336,1.4046437,1.0
0.4917743,0.7528521,0.29550976,0.70552003,0.82907176,0.42881712,0.89228445,2.4632475,1.0
0.5513268,0.859226,0.38690487,0.6963664,0.70267165,0.14338137,0.97899103,2.3601298,1.0
0.5474918,0.58889306,0.36568898,0.9558967,0.79068625,0.20196953,0.6358482,2.0256624,1.0
0.55464536,0.55844665,0.44388646,0.74653125,0.5780557,0.061193872,0.6959468,4.04327,1.0
0.5675417,0.7216978,0.5772679,0.7768391,0.6145708,0.17523208,0.524406,2.1000123,1.0
0.55775553,0.6164053,0.5845049,0.7448947,0.120363146,0.09613185,0.5593043,2.8600624,1.0
0.40144438,1.3171924,0.37736416,0.94531864,0.40927327,0.44710428,0.85035807,3.322186,1.0
0.5038554,0.672067,0.38263825,0.8740253,0.9234757,0.4492052,0.98087114,4.4360237,1.0
0.3924514,1.0661002,0.42278776,0.9282886,0.07125289,0.17578396,0.8715303,4.1013007,1.0
0.59253013,1.0713456,0.5487322,0.861988,0.9532383,0.09082237,0.86702126,1.7880912,1.0
0.5446728,0.5663746,0.22025925,0.91391385,0.88050723,0.25954324,0.71313274,2.8182003,1.0
0.47350362,0.9877997,0.35000825,0.76219416,0.45358822,0.42000028,0.6663285,4.7088494,1.0
0.5127858,0.36569715,0.50046575,0.69199544,0.1478301,0.15633303,0.8321009,1.6744232,1.0
0.42802688,0.3470836,0.3736807,0.94759524,0.40070486,0.10906607,0.91773885,2.3385532,1.0
0.5326851,0.6805148,0.6206145,0.9636193,0.73822635,0.25217995,0.9358039,3.0790367,1.0
0.5430594,0.61203694,0.30214524,0.73023367,0.7993787,0.19057779,0.8731944,4.3388534,1.0
0.42884204,1.0226543,0.41837877,0.8676018,0.52445185,0.47694135,0.8983993,4.8860073,1.0
0.5337494,0.4603478,0.5691807,0.7949111,0.11098425,0.21829742,0.5496357,3.5230021,1.0
0.49747273,0.36732912,0.44173437,0.83100855,0.4674009,0.032800008,0.9036155,3.681324,1.0
0.4333162,0.57567316,0.20666844,0.9420211,0.6132789,0.34710404,0.82092065,2.7017856,1.0
0.44064078,0.4549113,0.20499922,0.9035129,0.45581716,0.045572054,0.82168704,2.0038383,1.0
0.5381132,0.43735287,0.3439051,0.75867045,0.59319973,0.073010504,0.69853455,1.4391927,1.0
0.55084836,0.6390136,0.50549567,0.7627341,0.6881424,0.18020527,0.8447237,2.0690517,1.0
0.4725537,0.22422531,0.38523766,0.9198681,0.5284907,0.104339,0.8605397,2.2013059,1.0
0.47480994,0.5764895,0.5157362,0.7015353,0.31402305,0.48739257,0.82327074,2.1150196,1.0
