like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.35429668,4.0999875,0.6468152,0.8431373,0.2264831,0.282899,0.7632131,3.5308726,1.0
0.340419,3.6129184,0.6269751,0.7222929,0.09230042,0.1559784,0.74082696,2.1632414,1.0
0.35675353,4.2164516,0.60644865,0.8852541,0.3487055,0.15269226,0.820391,3.635351,1.0
0.46227714,2.7737606,0.41245022,0.968188,0.1444673,0.49866214,0.8908924,4.3817177,1.0
0.40862492,2.8368027,0.31829602,0.86574084,0.008964659,0.0348177,0.91933435,1.7588485,1.0
0.36771402,3.4673603,0.54621303,0.75303507,0.09584424,0.46723118,0.65271753,1.5463418,1.0
0.3632913,4.153147,0.39409086,0.8520128,0.17386742,0.026857825,0.6692863,3.2341964,1.0
0.365888,3.132945,0.39551538,0.7470639,0.62021303,0.4172375,0.9109575,3.6216218,1.0
0.3509204,2.6180582,0.46317288,0.7180653,0.10570596,0.0035816652,0.9642729,3.5729003,1.0
0.32566136,5.0520296,0.2022897,0.9120527,0.96940064,0.109571144,0.6845608,3.3657284,1.0
0.32179365,3.1706734,0.43179658,0.69030404,0.6598981,0.06876873,0.9883899,3.290467,1.0
0.37345192,4.454592,0.42659783,0.93071985,0.3358617,0.3239467,0.7099536,3.1637754,1.0
0.3807379,3.0804534,0.44631097,0.80221045,0.07522088,0.39061007,0.85833806,1.9113777,1.0
0.36597311,4.6316776,0.6430283,0.9242564,0.90435964,0.4777332,0.52619946,2.6641674,1.0
0.34318364,3.511732,0.63429004,0.72560257,0.11032267,0.3179827,0.8004254,4.8327913,1.0
0.37637097,4.4931026,0.5668301,0.9513521,0.19419925,0.37451494,0.7341297,2.6781614,1.0
0.3787366,2.8089993,0.20136422,0.7366846,0.49374574,0.326846,0.84901255,3.437461,1.0
0.38142416,4.236619,0.37387556,0.9269653,0.36901152,0.12871258,0.75422543,4.262903,1.0
0.35747787,3.672283,0.2914481,0.769046,0.8586381,0.41053084,0.83091366,3.345674,1.0
0.3816927,4.130808,0.37378982,0.9038564,0.4771115,0.36968294,0.73656005,4.487191,1.0
0.416955,1.7722496,0.26294565,0.6758966,0.0020742677,0.4070993,0.8579828,3.7590728,1.0
0.3221779,5.3506713,0.21221173,0.96503973,0.109407134,0.052295793,0.76763254,1.1068071,1.0
0.34133253,4.605979,0.5813678,0.87544435,0.7554906,0.3479493,0.5993063,4.5835,1.0
0.34368578,4.341492,0.55735964,0.8488379,0.33197924,0.13069849,0.6143324,4.267001,1.0
0.33892298,3.459353,0.46707746,0.6892183,0.56169385,0.28151897,0.6234995,2.4645019,1.0
0.33464086,4.0273547,0.45013666,0.7686343,0.70947397,0.26094824,0.5336293,3.0991704,1.0
0.3370865,4.8456764,0.47227827,0.9023632,0.50181264,0.12248864,0.63486105,1.6921216,1.0
0.41436166,3.5852284,0.21132511,0.9598342,0.14899313,0.23240644,0.82263076,3.0603738,1.0
0.3506045,5.031905,0.48203453,0.95895493,0.35598296,0.33184618,0.5863,2.7624755,1.0
0.33811852,4.797146,0.49363977,0.8960302,0.17012589,0.15177527,0.50254893,3.478887,1.0
0.3152011,4.8033776,0.63573545,0.86697716,0.95507884,0.056020062,0.9629986,2.4943187,1.0
0.33795184,5.062875,0.5831773,0.9375363,0.11637135,0.06182701,0.5833909,2.1028013,1.0
0.36355194,4.4819,0.45902056,0.92556757,0.36852732,0.3345391,0.7700895,1.7080204,1.0
0.33574817,3.6983082,0.4556403,0.7169387,0.6515129,0.07068892,0.55607677,3.9463217,1.0
0.33144292,4.01875,0.20296653,0.76276034,0.9372382,0.16995941,0.7690316,1.9674325,1.0
0.33007246,4.9533043,0.33470446,0.90594214,0.5397641,0.2580174,0.59864044,1.3127177,1.0
0.34986642,3.4775698,0.27591684,0.7257842,0.46466547,0.18031678,0.6235099,4.7889395,1.0
0.33573467,3.1665485,0.54862994,0.671243,0.30500543,0.09126681,0.8906458,2.8723276,1.0
0.42532763,1.7979344,0.21262011,0.69092584,0.05729833,0.4326421,0.8333057,4.7675605,1.0
0.34274483,4.5295005,0.41264358,0.8682662,0.44039702,0.111217245,0.632531,2.2156422,1.0
