like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.34986132,0.37815294,0.21467046,0.6837306,0.6091306,0.24384539,0.880369,4.928157,1.0
0.35791317,0.4491195,0.52237827,0.6879293,0.24069439,0.29051703,0.7041705,2.067456,1.0
0.37552622,1.0091352,0.31476772,0.9218657,0.9730652,0.2527456,0.5384301,1.963399,1.0
0.36173984,1.0472112,0.4108215,0.9314906,0.41630673,0.45819786,0.6857083,4.6150208,1.0
0.34819558,0.576196,0.40294147,0.9141781,0.8172252,0.3367526,0.75940233,1.5868933,1.0
0.36477873,0.8823211,0.60740316,0.91765857,0.6854292,0.15914202,0.64299375,4.788886,1.0
0.3417347,0.4490655,0.503482,0.92996824,0.6663709,0.3997006,0.75996315,1.8171891,1.0
0.34208637,0.49131048,0.40923387,0.9593097,0.92698926,0.39048952,0.95689774,2.6014378,1.0
0.38037923,0.81906074,0.630463,0.68077195,0.36332035,0.2561416,0.59348357,2.7791908,1.0
0.37222168,1.0403233,0.566118,0.9292123,0.83591914,0.095668234,0.86955655,2.7691338,1.0
0.3467114,0.373419,0.35716027,0.8643496,0.43574345,0.12887709,0.76900816,2.300671,1.0
0.3405021,0.33512524,0.54171926,0.73370546,0.012965579,0.3594012,0.782562,1.1107332,1.0
0.6656403,0.41647494,0.554184,0.68276554,0.98512596,0.48613968,0.97844666,4.395345,1.0
0.34922245,0.5346256,0.21043736,0.928193,0.3864071,0.19472766,0.5069651,1.9026084,1.0
0.24539016,0.41304228,0.5780596,0.9668907,0.050907366,0.00787073,0.9839578,1.1328329,1.0
0.34302768,0.34090072,0.6001257,0.85390323,0.16733956,0.38972804,0.8524796,4.829204,1.0
0.3780933,1.0089238,0.5128248,0.8824854,0.8751405,0.12813117,0.726157,3.4529922,1.0
0.35691047,0.58598065,0.2969488,0.8412691,0.5446477,0.16753179,0.54114133,2.4933565,1.0
0.36965692,1.0259042,0.3089241,0.90927756,0.3464567,0.37270772,0.81561446,4.7319756,1.0
