like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.5720651,0.9992405,0.32417753,0.6903576,0.8647327,0.05993137,0.88206095,2.978415,1.0
0.5422876,1.0686284,0.20216607,0.7513418,0.99681515,0.20323364,0.7309033,1.7250965,1.0
0.6282666,0.9622159,0.25297707,0.9653471,0.815087,0.27723,0.8431874,1.1952304,1.0
0.69070566,0.36464942,0.46445474,0.86569744,0.08791397,0.4610877,0.8630836,3.7098498,1.0
0.63561386,0.89128613,0.47081864,0.92676365,0.70141965,0.302814,0.9874858,1.3197978,1.0
0.51000744,0.8257385,0.38122803,0.76213163,0.9047431,0.36967614,0.60628426,4.009539,1.0
0.58971745,0.48015895,0.42121166,0.8784578,0.09059499,0.4602886,0.6541992,2.6170874,1.0
0.5211271,0.8501759,0.47696316,0.8340919,0.5238821,0.06388082,0.66017914,4.512073,1.0
0.544031,0.85197335,0.3492661,0.87845165,0.2849519,0.0040656575,0.58436525,4.744952,1.0
0.7278962,0.388994,0.23687094,0.9619986,0.504587,0.48628667,0.9126018,3.9792993,1.0
0.5873545,0.7184228,0.662554,0.8366103,0.22544098,0.41186702,0.90255886,3.509403,1.0
0.5275123,0.9337911,0.5848035,0.71668017,0.651755,0.20543633,0.5952338,3.202711,1.0
0.58812714,0.92432404,0.6107449,0.96417737,0.2689909,0.23062134,0.5740636,4.5791483,1.0
0.58217067,1.2807727,0.51183915,0.91993827,0.9643752,0.002083034,0.63750297,3.8510306,1.0
0.5598645,0.77101105,0.2931193,0.7500272,0.8481323,0.36546645,0.9117081,3.3042905,1.0
0.72146535,0.5058045,0.420126,0.9267451,0.1413368,0.0866027,0.8942492,2.4185932,1.0
0.59043896,0.96594274,0.3654682,0.8344063,0.79596263,0.18856885,0.90733844,1.0803851,1.0
0.5449931,1.1128706,0.33725807,0.7435664,0.12326635,0.13666338,0.55607814,1.0106945,1.0
0.6019665,1.1959729,0.5004163,0.94085675,0.6503337,0.073152885,0.64831215,1.0688851,1.0
0.5134359,0.6493515,0.28646624,0.7334863,0.12717393,0.37533134,0.5577483,2.4735088,1.0
0.59212893,0.8002118,0.36975163,0.6702346,0.7462919,0.30846834,0.937821,1.9467672,1.0
0.5828242,0.69274616,0.55787456,0.9293518,0.18192129,0.40218803,0.63222086,3.6560571,1.0
0.54549533,1.090571,0.6165032,0.8366803,0.98429346,0.22321592,0.7804318,2.4263957,1.0
0.5299424,0.9511772,0.21554083,0.8014599,0.8992811,0.32689908,0.5661579,1.0211616,1.0
0.5150931,0.71822965,0.47438702,0.75539345,0.28304994,0.3781734,0.588363,1.8642572,1.0
0.52387977,0.9047742,0.6065485,0.7890785,0.4484682,0.3235476,0.5274891,1.4029007,1.0
0.55157715,0.8392885,0.6614309,0.81970185,0.7945978,0.42257136,0.96020395,1.2831383,1.0
0.5298739,0.7961403,0.5798964,0.6817413,0.3918533,0.32051447,0.6935924,4.8524594,1.0
0.6399843,0.54059386,0.32461035,0.9306952,0.19900618,0.028168257,0.7632114,4.9939427,1.0
0.529549,0.86745995,0.23473042,0.7490219,0.8261908,0.19848846,0.80115634,3.4945056,1.0
0.5908028,0.55963266,0.47880298,0.8472987,0.04816486,0.3228374,0.75364393,1.7545124,1.0
0.5203743,0.7585524,0.3699597,0.70657605,0.39271697,0.0358489,0.6628301,4.9379435,1.0
0.7145037,0.57939476,0.44739565,0.96400607,0.38830566,0.38516876,0.8946478,1.6130729,1.0
0.5163102,0.68674195,0.42782468,0.7896624,0.60513103,0.34534964,0.7181315,4.9211407,1.0
0.68885934,0.3204544,0.24810602,0.8710204,0.06385014,0.039267737,0.79756045,4.7930655,1.0
0.5356286,0.9372326,0.3714761,0.70011806,0.75052834,0.036141224,0.6477093,1.4283403,1.0
0.51301795,0.7938082,0.22269505,0.7505324,0.81969523,0.39127225,0.517298,2.0175338,1.0
0.5351089,0.7703906,0.4906981,0.6722929,0.3908783,0.2900842,0.60463405,1.954328,1.0
0.5491526,0.9651931,0.51318717,0.89187336,0.74240017,0.18216263,0.61575925,1.8420333,1.0
0.5421139,0.5908473,0.42086646,0.7261161,0.40846038,0.34442812,0.84455866,2.376625,1.0
0.6282856,0.6859239,0.23869146,0.7953425,0.66346353,0.33991164,0.96539927,1.9370338,1.0
0.6833978,0.4855405,0.42073688,0.8595821,0.2803903,0.3886009,0.9252477,3.9915216,1.0
0.5394047,1.0239363,0.34630945,0.7245114,0.93313986,0.11386294,0.55857265,1.2282323,1.0
0.63520443,0.34269372,0.20898776,0.75909495,0.012170255,0.33401096,0.77204126,4.6890764,1.0
0.56092507,0.66678,0.2752032,0.8580784,0.27456823,0.12631851,0.6816414,1.9010386,1.0
0.6397156,0.42284012,0.20396864,0.754755,0.4884725,0.4473946,0.9205925,4.4159274,1.0
0.53488266,0.91180634,0.45916355,0.85616845,0.32740524,0.34891695,0.52609485,1.4640948,1.0
0.6453289,0.7942761,0.51399934,0.9634668,0.46265972,0.17998713,0.8936116,4.884201,1.0
0.54621273,1.0399814,0.21072541,0.8798861,0.9315917,0.122377455,0.69275606,4.4302087,1.0
0.57950884,0.8018951,0.48113236,0.93099236,0.31248775,0.06690061,0.66251725,4.628392,1.0
0.512559,0.6898748,0.46618706,0.7285973,0.012773074,0.47553822,0.5269502,4.9717894,1.0
0.62572616,0.69507086,0.5200165,0.89745057,0.20594996,0.30009827,0.79753006,1.5065953,1.0
0.55689824,0.8109553,0.5631671,0.8918709,0.46864474,0.25325236,0.6955256,3.003969,1.0
0.53874934,0.6685921,0.28423062,0.8439401,0.42835134,0.15217264,0.67736995,4.9981804,1.0
0.54649955,0.7108102,0.5443615,0.84821033,0.25749275,0.24126273,0.7152357,4.3831506,1.0
0.5219159,0.80571806,0.24831432,0.77669203,0.5286975,0.08432286,0.63549274,1.7218182,1.0
0.5427753,0.44637227,0.34238324,0.70230067,0.12439835,0.28726506,0.73206365,3.3824196,1.0
0.645859,0.9031061,0.6555309,0.9296818,0.3326163,0.14924908,0.94576067,2.043579,1.0
0.764213,0.34835377,0.30208635,0.9639984,0.087155364,0.12135414,0.911713,4.164232,1.0
0.5838854,0.44174278,0.29958764,0.7468042,0.24045001,0.41934058,0.827433,1.4644395,1.0
0.6802456,0.7351936,0.5346054,0.91664433,0.20280369,0.2360407,0.98012507,4.146954,1.0
0.5778369,0.8439944,0.26850894,0.9278256,0.3444579,0.20566437,0.58620363,2.1051874,1.0
0.54425746,0.92411906,0.48062387,0.87989724,0.24154186,0.13059491,0.5193292,2.2501347,1.0
0.5623748,0.83420956,0.5510173,0.9045666,0.8689228,0.44072604,0.7994868,3.3224204,1.0
0.53490627,0.50871634,0.31709963,0.82182753,0.028282091,0.20417875,0.65571296,3.6917076,1.0
0.6240362,0.6974735,0.24536194,0.70540917,0.6194607,0.31109238,0.9666434,1.9114146,1.0
0.60175246,0.91334647,0.42245185,0.9393262,0.78684866,0.274272,0.8610943,3.9990458,1.0
0.55055636,0.95748544,0.6473829,0.7510572,0.2620901,0.16773336,0.8760943,1.0684274,1.0
0.55777156,1.0919371,0.42384657,0.85940546,0.97680545,0.22869132,0.9228579,1.330226,1.0
0.61376226,0.65101427,0.44117773,0.9517641,0.38895312,0.36571428,0.68431383,3.5169718,1.0
0.5857109,0.7956041,0.56290275,0.8517653,0.27232653,0.015091014,0.8582288,4.2439623,1.0
0.5130398,0.6731916,0.4434558,0.74053514,0.21734174,0.3431559,0.5877114,2.596086,1.0
0.6893672,0.7170348,0.45937392,0.94333106,0.31218684,0.20173724,0.96810883,2.3171318,1.0
0.6059831,0.7253937,0.4115042,0.96081525,0.3093556,0.16870761,0.6765742,3.7258425,1.0
0.57577807,1.0222759,0.49963456,0.714906,0.8579981,0.19075094,0.9774765,4.2834206,1.0
0.5527126,0.42562371,0.364619,0.7123591,0.37893915,0.49880046,0.83178043,4.304623,1.0
0.51721686,0.8825907,0.4739358,0.7533857,0.6425157,0.085370876,0.66897357,3.065722,1.0
0.5701447,0.98391515,0.43524227,0.9140015,0.99025416,0.37215498,0.6152375,2.980504,1.0
0.5267938,0.9251945,0.52238524,0.79961705,0.77193266,0.3363246,0.5052423,1.2319763,1.0
0.51740813,0.8464446,0.33612075,0.8141813,0.33106938,0.25436184,0.5046856,4.375343,1.0
0.5603079,0.97776055,0.501024,0.9092381,0.629354,0.20446007,0.5181863,3.1728349,1.0
0.5739886,0.875658,0.3192815,0.92417496,0.84888023,0.32602796,0.7806938,3.081479,1.0
0.540708,0.71017855,0.3624793,0.8501447,0.7708531,0.41115317,0.75273037,3.2357452,1.0
0.6016837,0.87026185,0.40252712,0.7238941,0.66600823,0.2526739,0.9648307,2.0132596,1.0
0.5211033,0.77370334,0.65335864,0.7137535,0.71652406,0.46610013,0.7513366,4.668499,1.0
0.57874507,0.5717043,0.2608495,0.7779966,0.42296663,0.12781663,0.853486,3.0168178,1.0
0.61509556,0.66085327,0.42945182,0.80299217,0.5213298,0.36029828,0.9399418,2.9728186,1.0
