7	6.3
12	77.2
14	25.5
16	22.1
17	5.6
18	17.1
30	19.7
31	6.9
32	7.8
48	18.2
50	21.6
51	67.2
54	757.6
56	2.9
64	18.8
71	162.3
76	34.4
81	1.6
84	15.2
85	10.9
92	12.6
95	7.8
100	6.5
103	25.2
107	29.3
114	2.1
133	36.7
140	36.0
143	5.3
146	44.0
149	31.6
156	26.9
161	288.5
166	217.6
169	21.0
174	22.0
189	20.7
193	53.2
195	48.9
201	21.9
203	111.6
207	7.7
212	1.2
220	1.4
226	25.6
227	103.9
228	59.4
236	692.8
240	521.2
247	55.8
250	19.6
251	18.3
255	29.0
258	62.2
264	7.6
267	3.7
273	14.0
275	16.2
278	94.5
286	68.5
288	179.1
290	28.1
292	562.0
302	263.3
308	269.0
313	337.7
315	60.8
327	106.7
334	36.4
337	27.0
346	268.5
348	522.8
358	50.7
359	46.3
364	156.7
374	27.7
382	67.8
386	891.5
392	231.4
393	39.2
400	76.5
406	190.8
417	38.9
418	218.4
422	385.7
423	200.2
429	91.0
442	195.9
446	113.6
449	1254.8
456	72.6
462	177.7
478	78.3
479	124.8
481	117.0
487	75.2
491	1298.9
504	169.1
507	155.1
534	229.0
581	2671.0
609	246.8
617	648.5
621	698.7
635	472.8
638	529.1
